date,prcp(mm/day),tmean(C),srad(W/m2),vp(Pa),GW(feet)
12/1/1981,0,-7.81,222.9,239.38,3.73
13/1/1981,0,-9.41,284.58,160,3.77
14/1/1981,0,-2.015,283.56,311.69,3.85
15/1/1981,0.6,2.81,255.44,479.6,3.91
16/1/1981,0,0.675,258.08,414.85,3.96
17/1/1981,0,-1.33,236.06,360.51,4.04
18/1/1981,0,-2.29,260.52,320,4.07
19/1/1981,0,1.83,304.26,388.9,4.11
20/1/1981,0,4.755,307.51,480,4.16
21/1/1981,9,5.4,161.54,640,4.02
22/1/1981,9.18,3.33,180.42,522.56,3.68
23/1/1981,0,3.555,277.29,480,3.65
24/1/1981,0,1.895,289.03,440,3.7
25/1/1981,0,2.765,312.19,415.93,3.78
26/1/1981,0,6.145,319.67,512.7,3.8
27/1/1981,0,10.205,289.35,769.95,3.84
28/1/1981,0.09,9.41,251.86,800,3.88
29/1/1981,0,4.36,308.19,481.47,3.93
30/1/1981,0,3.95,311.63,480,4
31/1/1981,0,-3.385,298.68,280,4.02
1/2/1981,0,-0.305,353.56,280,3.95
2/2/1981,8.92,7.61,241.57,588.71,3.52
3/2/1981,9.07,2.475,251.09,401.19,3.11
4/2/1981,0,-4.945,284.45,279.07,3.17
5/2/1981,0,-4.255,291.98,280,3.29
6/2/1981,0,-2.355,311.55,319.7,3.33
7/2/1981,0,1.425,329.57,399.6,3.36
8/2/1981,10.1,4.57,192.21,593.83,3.38
9/2/1981,0,1.395,321.9,404.83,3.52
10/2/1981,0,4.035,339.48,471.29,3.54
11/2/1981,14.46,12.24,239.65,880.18,3.06
12/2/1981,13.03,5.14,330.6,359.8,2.72
13/2/1981,0,-1.895,291.44,360,2.83
14/2/1981,0,2.07,344.31,440.48,2.89
15/2/1981,0,4.495,393.03,472.35,2.96
16/2/1981,0,6.33,423.19,476.48,3.02
17/2/1981,0,10.58,402.21,691.12,3.07
18/2/1981,0,14.41,341.67,1045.63,3.13
19/2/1981,4.16,15.925,173.86,1346.18,3.06
20/2/1981,12.53,13.93,151.03,1243.71,2.92
21/2/1981,4.48,11.79,149.91,1084.99,2.89
22/2/1981,0,12.98,197.36,1188.24,2.99
23/2/1981,0,13.86,211.62,1240.11,3.04
24/2/1981,1.71,9.155,342.96,719.66,3.11
25/2/1981,0,7.735,373.71,600.64,3.21
26/2/1981,0,7.32,403.57,539.27,3.31
27/2/1981,0,8.08,359.17,642.76,3.41
28/2/1981,0,8.58,420.57,559.93,3.46
1/3/1981,0,14.23,366.89,964.85,3.54
2/3/1981,0,11.01,322.54,879.6,3.58
3/3/1981,0,5.945,368.21,560,3.71
4/3/1981,0,4.24,403.43,457.27,3.71
5/3/1981,18.12,8.755,235.31,785.02,3.49
6/3/1981,1.98,5.48,322.94,600,3.52
7/3/1981,0,3.345,357.76,492.86,3.6
8/3/1981,0,3.775,364.99,515.48,3.7
9/3/1981,0,4.505,399.84,497.37,3.76
10/3/1981,0,5.085,421.78,482.3,3.81
11/3/1981,0,5.705,429.6,503.52,3.85
12/3/1981,0,5.09,436.46,480,3.94
13/3/1981,0,8.56,429.61,614.25,3.97
14/3/1981,0,11.19,392.44,814.35,4.09
15/3/1981,0,4.995,477.03,400.13,4.12
16/3/1981,0,9.235,422.38,666.57,4.11
17/3/1981,5.16,5.38,331.58,480,4.19
18/3/1981,0,7.625,392.29,640.02,4.21
19/3/1981,2.05,3.495,348.67,520,4.27
20/3/1981,0,1.12,407.15,400,4.33
21/3/1981,0,3.965,411.72,489.81,4.41
22/3/1981,0,4.885,419.18,519.45,4.44
23/3/1981,21.96,5.2,194.41,673.15,4.21
24/3/1981,1.6,5.19,352.42,594.37,4.27
25/3/1981,0,6.885,428.26,595.94,4.35
26/3/1981,0,7.63,476.08,553.83,4.41
27/3/1981,0,13.885,430.49,923.38,4.45
28/3/1981,0,11.615,491.52,663.68,4.53
29/3/1981,0,11.36,481.59,678.27,4.52
30/3/1981,0,17.14,303.55,1422.41,4.47
31/3/1981,8.45,17.065,307.33,1232.55,4.54
1/4/1981,0,18.26,451.01,1138.41,4.52
2/4/1981,0,17.48,421.52,1197.44,4.59
3/4/1981,0,16.335,504.99,827.46,4.67
4/4/1981,0,20.195,437.68,1318.66,4.69
5/4/1981,0,21.705,355.25,1758.02,4.67
6/4/1981,16.39,16.12,343.71,1040.67,4.68
7/4/1981,0,7.71,490.38,558.57,4.77
8/4/1981,0,11.495,489.16,692.49,4.79
9/4/1981,0,16.71,350.71,1315.55,4.8
10/4/1981,4,15.75,266.82,1240.17,4.85
11/4/1981,0,17.89,447.74,1181.79,4.86
12/4/1981,0,22.605,420.38,1641.81,4.9
13/4/1981,0.46,19.45,489.2,1119.96,4.96
14/4/1981,0,13.67,338.28,1121.79,4.93
15/4/1981,1.46,15.825,425.1,1138.2,5.08
16/4/1981,0,10.52,535.36,572.26,5.12
17/4/1981,0,16.835,397.78,1270.83,5.1
18/4/1981,0,20.49,393.69,1585.08,5.13
19/4/1981,0,18.325,511.88,983.14,5.23
20/4/1981,7.32,17.15,277.07,1341.18,5.17
21/4/1981,10.55,10.33,323.27,797.51,5.26
22/4/1981,0,10.015,536.3,567.41,5.31
23/4/1981,0,18.28,414.62,1315.71,5.28
24/4/1981,12.32,19.915,275.86,1586.23,5.31
25/4/1981,0,14.24,438.99,998.17,5.46
26/4/1981,0,11.71,503.93,726.36,5.52
27/4/1981,0,17.495,449.97,1185.63,5.54
28/4/1981,0,20.52,513.53,1154.74,5.59
29/4/1981,0,23.795,445.42,1686.55,5.64
30/4/1981,0,22.415,426.33,1651.51,5.66
1/5/1981,3.12,16.97,344.94,1177.44,5.67
2/5/1981,0,14.88,482.87,947.9,5.78
3/5/1981,0,11.82,466.63,812.58,5.83
4/5/1981,0,13.905,535.06,742.01,5.88
5/5/1981,0,16.47,501.14,947.58,5.88
6/5/1981,0,17.705,460.75,1142.23,5.89
7/5/1981,3.76,16.27,372.75,1026.77,5.88
8/5/1981,0.17,12.22,408.31,925.01,5.45
9/5/1981,0,14.72,386.96,1141.17,5.43
10/5/1981,12.86,17.69,258.56,1432.38,5.29
11/5/1981,7.17,20.87,222.3,1852.12,4.97
12/5/1981,2.04,19.64,389.55,1475.88,4.95
13/5/1981,0,16.905,482.97,1047.9,5.04
14/5/1981,0,19.22,463.82,1210.76,5.07
15/5/1981,0,22.035,422.75,1569.62,5.12
16/5/1981,0,19.105,478.04,1165.15,5.26
17/5/1981,0,17.585,437.97,1187.92,5.33
18/5/1981,0,16.455,455.12,1063.91,5.34
19/5/1981,1,16.185,331.83,1354.15,5.32
20/5/1981,13.1,11.62,148.68,1163.24,3.91
21/5/1981,3.87,13.62,227.05,1202.55,3.12
22/5/1981,0,17.26,528.55,930.42,3.13
23/5/1981,0,19.79,513.33,1091.3,3.32
24/5/1981,0,21.225,507.59,1200.06,3.45
25/5/1981,0,23.25,499.9,1362.05,3.61
26/5/1981,0,24.105,446.98,1652.66,3.74
27/5/1981,0,22.89,400.68,1742.19,3.81
28/5/1981,37.97,22.77,263.77,2006.31,2.47
29/5/1981,6.86,22.24,288.99,1877,2.52
30/5/1981,0,23.21,416.35,1879.22,2.77
31/5/1981,0,25.735,392.66,2263.61,2.99
1/6/1981,15.24,24.835,302.19,2138.15,3.09
2/6/1981,2.62,22.88,269.29,2128.53,2.88
3/6/1981,11.24,24.815,289.58,2220.54,2.75
4/6/1981,10.01,26.46,270.64,2555.67,2.89
5/6/1981,10.25,26.025,287.2,2390.49,2.72
6/6/1981,0,26.995,322.58,2718.97,2.34
7/6/1981,16,24.985,273.36,2318.05,2.04
8/6/1981,6.12,24.755,339.54,2208.43,2.44
9/6/1981,0,26.665,374.05,2533.02,2.65
10/6/1981,0,28.845,338.33,2982.79,2.9
11/6/1981,0,26.835,396.03,2491.52,3.15
12/6/1981,0,24.355,390.37,2202.45,3.29
13/6/1981,0,26.42,390.17,2471.42,3.41
14/6/1981,0,28.765,392.32,2800.01,3.58
15/6/1981,0,28.555,440.33,2597.75,3.75
16/6/1981,0,29.785,425.96,2820.52,3.9
17/6/1981,0,29.615,413.04,2853.66,3.98
18/6/1981,0.53,26.35,410.87,2406.2,3.23
19/6/1981,8.08,25.215,289.64,2315.74,2.57
20/6/1981,0.03,26.215,421.95,2331.38,2.78
21/6/1981,0,26.91,420.26,2444.52,3.02
22/6/1981,0,29.32,410.47,2820.44,3.22
23/6/1981,0,27.67,482.65,2223.56,3.35
24/6/1981,0,24.25,487.28,1868.53,3.38
25/6/1981,0,27.775,448.07,2442.42,3.47
26/6/1981,1.82,27.585,447.48,2386.38,3.65
27/6/1981,0,21.405,472.83,1670.94,3.84
28/6/1981,0,19.1,540.66,1224.35,4.01
29/6/1981,0,20.635,552.6,1249.92,4.15
30/6/1981,0,21.455,547.26,1308.04,4.28
1/7/1981,0,23.48,469.88,1819.88,4.38
2/7/1981,4.79,22.595,329.92,1845.78,4.46
3/7/1981,7.5,22.78,245.39,2123.78,4.36
4/7/1981,32.63,23.83,225.94,2313.69,3.96
5/7/1981,0.01,25.195,380.7,2312.06,4.01
6/7/1981,4.08,26.57,264.05,2582.31,4.18
7/7/1981,2.43,26.13,339.01,2458.04,4.34
8/7/1981,0,26.935,429.37,2379.03,4.48
9/7/1981,0,28.23,427.98,2554.41,4.6
10/7/1981,0,29.39,401.4,2806.97,4.7
11/7/1981,0,29.045,394.33,2782.97,4.82
12/7/1981,0,27.08,438.43,2342.05,4.92
13/7/1981,0,27.825,410.25,2545.73,4.97
14/7/1981,0,28.705,372.18,2800,5.06
15/7/1981,0,25.88,459.58,2118.2,5.22
16/7/1981,0,22.995,434.95,1886.39,5.16
17/7/1981,5.78,24.165,199.2,2423.26,4.73
18/7/1981,0,25.075,405.19,2221.4,4.79
19/7/1981,0,25.15,477.63,1968.51,5
20/7/1981,0,27.75,402.06,2560,5.11
21/7/1981,2.27,28.915,351.57,2779.87,5.2
22/7/1981,4.84,26.69,332.31,2280.12,5.33
23/7/1981,0,25.305,413.83,2213.68,5.47
24/7/1981,0,24.11,415.6,2080.38,5.56
25/7/1981,0,24.705,412.01,2139.79,5.65
26/7/1981,0.37,27.44,394.06,2551.96,5.75
27/7/1981,0,29.385,396.52,2810.61,5.86
28/7/1981,3.49,29.34,324.61,2698.22,5.97
29/7/1981,2.75,28.8,347.3,2646.99,6.05
30/7/1981,0.24,24.46,486.11,1876.91,6.18
31/7/1981,0,21.13,500.66,1512.15,6.27
1/8/1981,0,22.695,489.88,1683.87,6.38
2/8/1981,0,23.72,480.18,1797.32,6.47
3/8/1981,0,24.25,416.42,2080,6.49
4/8/1981,3.68,26.555,313.64,2383.68,6.59
5/8/1981,0,28.91,413.71,2639.81,6.73
6/8/1981,0,28.41,399.66,2619.09,6.76
7/8/1981,9,25.06,221.16,2463.69,6.79
8/8/1981,6.53,26.72,265.24,2548.86,6.91
9/8/1981,6.21,26.46,281.41,2463.55,7
10/8/1981,0,26.58,364.8,2495.71,7.09
11/8/1981,16.62,26.55,299.21,2415.82,6.96
12/8/1981,29.94,24.76,281.17,2244.88,4.28
13/8/1981,0,23.185,458.08,1790.05,4.51
14/8/1981,0,24.31,429.47,2018.59,4.84
15/8/1981,0,24.695,430.99,2061.64,5.05
16/8/1981,2.47,26.26,293.17,2423.33,5.21
17/8/1981,0.08,23.6,352.4,2120,5.34
18/8/1981,0,19.2,484.95,1351.05,5.47
19/8/1981,19.13,20.495,253.58,1796.02,5
20/8/1981,35.64,19.23,140.36,1913.42,2.29
21/8/1981,0,18.76,411.36,1489.55,2.51
22/8/1981,33.56,18.74,200.91,1747.02,2.15
23/8/1981,30.19,18.925,267.42,1618.42,2.18
24/8/1981,0,22.17,403.52,1855.4,2.44
25/8/1981,0,22.585,389.42,1922.26,2.63
26/8/1981,0,20.77,439.39,1614.55,2.8
27/8/1981,0,19.755,485.86,1382.65,2.95
28/8/1981,0,20.775,484.96,1444.86,3.12
29/8/1981,0,22.67,440.49,1777.28,3.25
30/8/1981,0,24.355,355.43,2233.23,3.36
31/8/1981,0,23.72,401.68,2026.8,3.45
1/9/1981,0,23.54,420,1935.62,3.57
2/9/1981,0,23.76,417.96,1960.45,3.7
3/9/1981,0,23.725,403.03,2011.98,3.83
4/9/1981,0,22.6,401.5,1887.01,3.95
5/9/1981,0,22,299.47,2080,4.04
6/9/1981,0,21.315,347.44,1880.45,4.16
7/9/1981,0,21.59,375.16,1832.79,4.19
8/9/1981,0,22.735,355.15,2020.86,4.22
9/9/1981,7.95,20.41,330.24,1533.34,4.27
10/9/1981,0,19.92,456.57,1422.01,4.4
11/9/1981,0,20.805,464.31,1440.18,4.51
12/9/1981,0,23.015,446.67,1709.69,4.6
13/9/1981,0,23.765,444.21,1762.44,4.68
14/9/1981,0,24,435.59,1804.63,4.75
15/9/1981,0,25.625,373.75,2240.52,4.83
16/9/1981,9.03,24.985,254.66,2274.91,4.91
17/9/1981,0,20.31,350.88,1710.57,4.98
18/9/1981,0,20,299.63,1770.61,5.01
19/9/1981,0,15.94,386.68,1232.95,5.1
20/9/1981,0,16.135,447.87,1083.35,5.2
21/9/1981,0,17.895,455.72,1147.67,5.29
22/9/1981,0,20.155,427.32,1389.44,5.35
23/9/1981,0,19.35,404.27,1389.4,5.47
24/9/1981,0,13.105,453.93,806.03,5.55
25/9/1981,0,15.015,456.86,900.85,5.63
26/9/1981,0,16.51,453.13,966.46,5.7
27/9/1981,0,18.975,435.2,1196.38,5.75
28/9/1981,0,20.295,392.43,1428.84,5.82
29/9/1981,0,15.36,437.63,920.48,5.95
30/9/1981,0,16.41,426.07,1002.28,5.99
1/10/1981,0,20.085,405.83,1314.87,6.02
2/10/1981,5.87,20.95,278.99,1477.13,6.07
3/10/1981,0,11.295,407.43,733.25,6.21
4/10/1981,0,11.095,421.57,686.6,6.23
5/10/1981,0,15.83,412.08,932.26,6.34
6/10/1981,0,20.9,373.91,1395.76,6.38
7/10/1981,0.01,21.04,345.32,1489.09,6.49
8/10/1981,0,12.16,370.7,800,6.59
9/10/1981,0,10.74,365.89,730.77,6.66
10/10/1981,0,10.485,380.06,686.15,6.71
11/10/1981,0.3,13.91,247.7,1149.5,6.76
12/10/1981,0,12.755,301.34,949.9,6.84
13/10/1981,0,11.885,301.66,911.21,6.92
14/10/1981,0,13.225,314.03,951.45,6.96
15/10/1981,0,12.77,346.46,856.51,6.97
16/10/1981,0,13.105,383.31,757.69,7.02
17/10/1981,0,13.62,348.45,877.81,7.13
18/10/1981,0,14.67,355.06,907.68,7.13
19/10/1981,0,15.6,346.59,950.71,7.23
20/10/1981,0,7.295,375.66,485.4,7.3
21/10/1981,0,10.615,383.68,574.55,7.33
22/10/1981,0,13.795,368.82,745.6,7.34
23/10/1981,0,18.26,310.7,1217.62,7.34
24/10/1981,3.26,14.79,257.12,919.16,7.43
25/10/1981,37.7,10.865,123.61,1008.96,6.94
26/10/1981,20.02,15.67,186.73,1199.62,6.83
27/10/1981,3.47,18.02,168.92,1434.86,6.91
28/10/1981,0.56,15.295,265.93,1090.36,7.01
29/10/1981,0,14.495,203.59,1213.68,7.15
30/10/1981,0,12.835,102.29,1289.05,7.23
31/10/1981,0,12.63,143.93,1197.82,7.29
1/11/1981,0,15.065,183.26,1311.76,7.33
2/11/1981,0,15.81,294.12,1087.72,7.36
3/11/1981,0,16.5,286.5,1160,7.41
4/11/1981,0,15.235,312.96,962.43,7.46
5/11/1981,0,16.515,268.99,1211.46,7.46
6/11/1981,9,16.515,158.8,1358.14,7.44
7/11/1981,0,11,279.71,800,7.56
8/11/1981,0,7.71,325.46,560,7.61
9/11/1981,0,10.465,328,639.77,7.62
10/11/1981,0,12.155,219.88,989.81,7.61
11/11/1981,0,11.145,155.29,1049.27,7.61
12/11/1981,0,9.47,217.2,828.51,7.66
13/11/1981,0,7.18,209.23,726.1,7.69
14/11/1981,0,7.37,227.27,712.45,7.7
15/11/1981,0,12.065,224.02,975.61,7.73
16/11/1981,0,11.14,308.96,702.6,7.76
17/11/1981,2.56,12.29,186.49,1010.34,7.73
18/11/1981,0,10.52,231.33,880.64,7.78
19/11/1981,0,9.305,308.09,603.21,7.83
20/11/1981,0,14.855,266.47,1057.57,7.8
21/11/1981,0,10.075,296.72,686.07,7.87
22/11/1981,0,2.59,265.18,454.43,7.89
23/11/1981,0,1.36,282.08,399.46,7.9
24/11/1981,4.09,1.715,165.35,480.21,7.84
25/11/1981,3.04,3.44,146.02,598.74,7.88
26/11/1981,0,3.9,288.6,440,7.91
27/11/1981,0,10.79,290.77,699.25,7.91
28/11/1981,0,14.39,240.12,1075.14,7.94
29/11/1981,0,5.45,258.5,560,7.97
30/11/1981,0,2.13,266.23,419.27,7.99
1/12/1981,4.33,7.225,179.1,638.04,7.97
2/12/1981,14.88,12.885,166.4,989.45,7.88
3/12/1981,0,8.11,253.17,645.05,7.95
4/12/1981,3.19,5.74,146.97,642.71,7.98
5/12/1981,5.45,6.57,103.9,789.21,8.01
6/12/1981,0,4.07,222.06,555.02,8.04
7/12/1981,0,5.27,272.53,480.9,8.04
8/12/1981,0,9.87,250.66,739.65,8.05
9/12/1981,0,6.105,233.32,600,8.1
10/12/1981,0,-0.265,200.36,437.32,8.11
11/12/1981,0,0.135,194.26,440,8.11
12/12/1981,0,-0.395,231.76,371.91,8.11
13/12/1981,0,0.055,264.55,347.66,8.12
14/12/1981,9.58,1.905,226.35,400,8.06
15/12/1981,33.91,5.45,129.76,685.82,7.78
16/12/1981,10.44,3.32,115.3,604.05,7.64
17/12/1981,0,2.87,290.73,414.64,7.72
18/12/1981,5.37,4.83,179.35,560,7.66
19/12/1981,0.03,-1.695,175.34,409.07,7.61
20/12/1981,0,-4.1,229.63,304.27,7.72
21/12/1981,0,-4.52,286.4,240,7.79
22/12/1981,6.76,3.865,220.48,441.01,7.8
23/12/1981,0.14,12.63,262.41,834.42,7.86
24/12/1981,0.06,12.035,221.33,926.62,7.92
25/12/1981,16.75,4.58,119.57,640.04,7.05
26/12/1981,11.4,2.005,85.84,596.76,5.71
27/12/1981,2.43,2.73,102.2,626.68,5.78
28/12/1981,3.34,2.205,124.66,557.74,5.94
29/12/1981,3.39,4.185,155.37,594.18,6
30/12/1981,0,1.975,261.22,439.38,6.1
31/12/1981,8.91,1.195,217.31,399.7,5.96
1/1/1982,28.03,6.95,178.4,662.88,5.35
2/1/1982,0,4.945,265.18,528.14,5.28
3/1/1982,12.68,3.915,177.34,552.8,4.5
4/1/1982,25.42,11.525,198.24,832.65,2.64
5/1/1982,3.95,9.175,261.18,680,2.72
6/1/1982,0,5.82,279.12,541.18,2.77
7/1/1982,0,12.065,209.49,1021.68,2.82
8/1/1982,2.16,8.04,274.9,600,2.76
9/1/1982,0,1.75,236.68,480,2.75
10/1/1982,0,-2.94,307.66,240,2.97
11/1/1982,0,-10.865,210.61,200,3.07
12/1/1982,0,-7.675,231.2,240,3.2
13/1/1982,8.12,-2.735,182.13,357.6,3.16
14/1/1982,6.91,-0.98,106.31,478.28,3.1
15/1/1982,8.49,-3.955,191.44,319.34,3.17
16/1/1982,0,-1.62,313.61,320,3.1
17/1/1982,0,-3.965,347.21,240.42,3.18
18/1/1982,0,-5.2,326.81,240,3.2
19/1/1982,5,0.26,144.58,493.05,3.19
20/1/1982,0.48,1.365,179.82,546.63,3.01
21/1/1982,10.23,1.24,127.27,558.04,2.82
22/1/1982,3.97,0.06,135.8,518.43,2.69
23/1/1982,12.81,2,182.77,521.49,2.46
24/1/1982,8.01,4.415,210.52,585.55,2.17
25/1/1982,0,-0.07,301.94,400.55,2.39
26/1/1982,0,-1.015,265.22,400,2.53
27/1/1982,0,-4.935,307.91,279.28,2.69
28/1/1982,0,-1.135,358.74,319.81,2.74
29/1/1982,0,3.14,357.8,440,2.82
30/1/1982,0,4.53,383.47,439.96,2.84
31/1/1982,0,10.765,318.04,813.68,2.83
1/2/1982,5.74,13.35,208.59,1045.65,2.93
2/2/1982,4.45,5.855,244.23,598.49,2.84
3/2/1982,12.33,7.385,195.84,734.38,2.41
4/2/1982,1.72,11.155,202.22,1012.58,2.43
5/2/1982,0,8.01,278.18,760.17,2.53
6/2/1982,15,7.34,152.73,805.27,2.41
7/2/1982,0,3.075,331.23,479.66,2.61
8/2/1982,0,2.675,344.15,440,2.69
9/2/1982,0,6.795,353.55,596.48,2.64
10/2/1982,5.76,5.475,234.98,600.46,2.42
11/2/1982,0,3.21,291.58,553.59,2.55
12/2/1982,0,2.975,367.63,440,2.65
13/2/1982,22.39,3.815,220.13,561.93,1.94
14/2/1982,0,2.515,371.2,439.09,2.18
15/2/1982,0,8.3,389.46,570.08,2.31
16/2/1982,6.23,14.01,224.38,1134.37,2.25
17/2/1982,20.11,11.77,218.84,988.35,1.9
18/2/1982,7.06,4.965,189.16,650.33,2.14
19/2/1982,3.03,4.65,191.09,640,2.17
20/2/1982,0,6.875,363.8,609.32,2.27
21/2/1982,0,10.31,340.68,811.64,2.39
