date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(m),GW(feet)
26/9/1980,0.38,28.05,0.492000231,383.39,2652.62,0.196566669,10.43902439,36.37
27/9/1980,0,28.18,0.492000231,376.67,2698.32,0.158765386,10.54573171,36.53
28/9/1980,0,27.955,0.492000231,364.76,2705.62,0.12852436,10.65243902,36.67
29/9/1980,0,27.565,0.488,372.12,2618.82,0.105843591,10.75914634,36.7
30/9/1980,0,27.22,0.488,385.83,2513.55,0.120964104,10.88109756,36.67
1/10/1980,20.27,27.125,0.488,238.89,2724.55,0.15120513,10.82012195,36.64
2/10/1980,10.43,26.6,0.483999884,232.55,2671.52,0.204126925,10.57621951,36.61
3/10/1980,4.76,25.41,0.483999884,239.17,2533.4,0.264608977,10.36280488,36.61
4/10/1980,0,23.78,0.483999884,386.6,2083.76,0.347771798,10.31707317,36.77
5/10/1980,0,22.855,0.483999884,423.25,1833.89,0.453615389,10.36280488,36.82
6/10/1980,0,22.535,0.479999884,448.32,1716.53,0.604820519,10.40853659,36.76
7/10/1980,0,23.745,0.479999884,398.85,1998.34,0.506537184,10.45426829,36.62
8/10/1980,0,23.755,0.479999884,376.91,2080,0.43093462,10.45426829,36.44
9/10/1980,0,24.325,0.476000116,384.24,2100.13,0.370452568,10.21036585,36.355
10/10/1980,0,24.875,0.476000116,380.85,2160.49,0.309970516,10.13414634,36.27
11/10/1980,0,24.52,0.476000116,376.6,2119.92,0.264608977,10.22560976,36.1
12/10/1980,0,23.345,0.476000116,415.44,1839.1,0.226807694,10.43902439,35.89
13/10/1980,0,20.835,0.472000116,456.88,1421.4,0.196566669,10.71341463,35.69
14/10/1980,0,22.5,0.472000116,421.99,1720,0.166325643,10.71341463,35.53
15/10/1980,0,24,0.472000116,382.09,2000,0.143644873,10.97256098,35.3
16/10/1980,0,24.99,0.468267708,374.2,2118.65,0.120964104,11.23170732,35.14
17/10/1980,0,25.66,0.468,360.24,2257.31,0.113403847,11.55182927,34.98
18/10/1980,0,25.89,0.468,366.82,2244.9,0.098283334,11.85670732,34.86
19/10/1980,0,26.495,0.468,320.47,2478.04,0.090723078,12.10060976,34.72
20/10/1980,0,25.155,0.464,354.6,2178.71,0.083162821,12.45121951,34.57
21/10/1980,0,25.1,0.464,331.26,2262.06,0.075602565,12.69512195,34.4
22/10/1980,1.89,23.905,0.464,294.25,2121.03,0.073334488,12.93902439,34.19
23/10/1980,3.17,24.735,0.464,215.32,2319.65,0.075602565,13.12195122,33.93
24/10/1980,0,24.6,0.459999769,335.97,2156.83,0.074090514,13.33536585,33.8
25/10/1980,0,23.03,0.459999769,326.83,2000,0.068798334,13.56402439,33.76
26/10/1980,0,17.78,0.459999769,441.63,1120,0.062750129,13.82317073,33.77
27/10/1980,0,20.24,0.459999769,420.98,1360,0.058970001,14.14329268,33.7
28/10/1980,0,24.73,0.456,334.44,2119.65,0.056701924,14.53963415,33.5
29/10/1980,0,25.13,0.456,328.88,2187.22,0.055189872,14.73780488,33.29
30/10/1980,0,26.28,0.456,307.15,2398.27,0.052921795,14.79878049,33.12
31/10/1980,0,25.36,0.456,247.95,2477.45,0.051409744,14.78353659,32.88
1/11/1980,0,20.67,0.452000116,284.11,1786.28,0.051409744,14.8902439,32.77
2/11/1980,0,21.115,0.452000116,340.04,1680.69,0.050653718,15.19512195,32.66
3/11/1980,0,22.93,0.452000116,338.07,1857.64,0.050653718,15.5152439,32.42
4/11/1980,0.47,23.335,0.452000116,272.78,2113.47,0.051409744,15.77439024,32.18
5/11/1980,0,21.74,0.448267708,247.61,2000,0.055189872,16.1402439,31.89
6/11/1980,0,16.67,0.448,400.43,1106.14,0.052921795,16.30792683,31.68
7/11/1980,0,17.415,0.448,407.42,1106.56,0.050653718,16.47560976,31.42
8/11/1980,0,20.25,0.448,368.65,1440,0.049897693,16.84146341,31.24
9/11/1980,0,23.395,0.448,289.8,2045.17,0.048385641,17.20731707,31.14
10/11/1980,0.01,24.105,0.443999884,212.88,2351.91,0.049897693,17.64939024,30.99
11/11/1980,0.25,21.835,0.443999884,164.35,2200,0.051409744,17.9695122,30.84
12/11/1980,0,20.145,0.443999884,279.77,1733.8,0.049897693,18.36585366,30.69
13/11/1980,0,19.49,0.443999884,351.76,1438.11,0.046117565,18.6402439,30.78
14/11/1980,0,20.8,0.443999884,325.14,1640,0.043849488,18.79268293,30.76
15/11/1980,17.34,23.875,0.44,181.79,2271.92,0.048385641,19.02134146,30.69
16/11/1980,4.84,24.495,0.44,167.03,2395.31,0.05216577,19.25,30.46
17/11/1980,13.97,24.33,0.44,162.35,2393.7,0.05216577,19.47865854,30.43
18/11/1980,7.68,22.51,0.44,148.3,2221.93,0.060482052,19.34146341,30.48
19/11/1980,0,15.875,0.44,318.98,1257.44,0.059726026,19.37195122,30.7
20/11/1980,0,14.445,0.43908831,317.45,1150.68,0.055189872,19.47865854,30.76
21/11/1980,0,13.59,0.435999653,319.12,1079.4,0.052921795,19.82926829,30.81
22/11/1980,0,14.6,0.435999653,384.57,925.5,0.049897693,19.875,30.92
23/11/1980,0,20.035,0.435999653,325.36,1560,0.048385641,19.79878049,30.94
24/11/1980,4.73,23.29,0.435999653,158.87,2271.73,0.049897693,19.46341463,30.92
25/11/1980,0,21.575,0.435999653,283.07,1844.04,0.049897693,19.37195122,30.9
26/11/1980,0,20.725,0.435999653,331.9,1596.34,0.049897693,19.29573171,30.92
27/11/1980,6.06,21.75,0.433541319,181,1995.67,0.05216577,19.12804878,30.97
28/11/1980,28.22,16.04,0.432000231,201.57,1361.72,0.090723078,19.09756098,31.1
29/11/1980,2.87,12.2,0.432000231,236.36,1005.63,0.158765386,19.09756098,31.31
30/11/1980,0,11.895,0.432000231,368.28,823.06,0.158765386,19.15853659,31.42
1/12/1980,0,16.33,0.432000231,346.75,1172.45,0.136084617,19.12804878,31.56
2/12/1980,0,18.585,0.432000231,340.22,1349.27,0.120964104,19.05182927,31.72
3/12/1980,0,19.18,0.432000231,324.52,1440,0.113403847,18.85365854,32
4/12/1980,0,17.76,0.432000231,343.27,1265.36,0.105843591,18.53353659,32.26
5/12/1980,0,18.495,0.432000231,328.71,1358.89,0.105843591,18.36585366,32.34
6/12/1980,0,17.725,0.431088426,336.56,1276.06,0.098283334,18.15243902,32.31
7/12/1980,0,18.325,0.428267708,336.86,1319.3,0.090723078,17.90853659,32.34
8/12/1980,0,19.55,0.428,334.36,1409.86,0.083162821,17.48170732,32.39
9/12/1980,0,19.755,0.428,328.91,1441.03,0.075602565,17.08536585,32.41
10/12/1980,0,19.64,0.428,345.65,1347.24,0.06955436,16.96341463,32.51
11/12/1980,0,19.73,0.428,245.47,1711.96,0.065774231,17.00914634,32.64
12/12/1980,0,14.25,0.428,334.98,997.36,0.061238078,16.96341463,32.75
13/12/1980,0,15.47,0.428,348.79,1024.84,0.058970001,16.88719512,32.89
14/12/1980,0,15.25,0.428,339.72,1040,0.055189872,16.85670732,32.96
15/12/1980,0,13.5,0.428,361.6,840,0.051409744,16.70426829,32.99
16/12/1980,5.39,14.98,0.428,282.95,1000,0.050653718,16.50609756,33.06
17/12/1980,10.47,15.495,0.428,186.68,1280,0.065774231,16.33841463,33.1
18/12/1980,0,10.535,0.428,351.55,720,0.065774231,16.125,33.16
19/12/1980,0,13.74,0.428,340.49,917.81,0.062750129,16.01829268,33.24
20/12/1980,0,16.22,0.428,299.49,1194.86,0.060482052,15.97256098,33.19
21/12/1980,0,14.715,0.428,248.89,1205.26,0.057457949,15.86585366,32.96
22/12/1980,5.13,15.6,0.428,172.89,1317.38,0.056701924,15.80487805,32.94
23/12/1980,2.55,17.34,0.428,187.26,1476.83,0.059726026,15.71341463,32.76
24/12/1980,0,15.55,0.428,281.02,1204.89,0.059726026,15.59146341,32.62
25/12/1980,1.99,13.88,0.428,255.96,1137.01,0.058970001,15.66768293,32.59
26/12/1980,0,10.19,0.428,337.76,720,0.056701924,16.01829268,32.66
27/12/1980,0,11.98,0.428,269.45,959.05,0.055189872,16.04878049,32.77
28/12/1980,0,8.16,0.428,242.7,800,0.052921795,16.32317073,32.94
29/12/1980,0,8.385,0.428,259.32,783.23,0.05216577,16.53658537,33.24
30/12/1980,0,11.555,0.428,317.11,853.49,0.051409744,16.58231707,33.48
31/12/1980,0,9.97,0.428,288.22,818.36,0.050653718,16.47560976,33.64
1/1/1981,0,10.94,0.428,332.05,694.08,0.048385641,16.30792683,33.75
2/1/1981,0,11.395,0.428,294.7,817.44,0.049897693,16.04878049,33.87
3/1/1981,0,9.15,0.429541667,350.71,575.5,0.04687359,15.59146341,33.85
4/1/1981,0,10.425,0.431899421,353.43,611.94,0.044605513,15.22560976,33.87
5/1/1981,0,11.105,0.432000231,313.89,767.54,0.042337436,14.98170732,33.85
6/1/1981,0,12.455,0.432000231,333.96,766.05,0.040825385,14.81402439,33.8
7/1/1981,0,14.935,0.432000231,276.86,1089.68,0.040825385,14.63109756,33.79
8/1/1981,0,11.545,0.432000231,272.7,899.33,0.045361539,14.66158537,33.69
9/1/1981,0,9.695,0.432000231,313.13,697.31,0.042337436,14.63109756,33.59
10/1/1981,0,9.555,0.432000231,328.01,667.38,0.038557308,14.66158537,32.99
11/1/1981,0,8.525,0.432000231,319.15,636.68,0.037045257,14.73780488,32.615
12/1/1981,0,5.86,0.432000231,294.17,582.83,0.03477718,14.75304878,32.24
13/1/1981,0,2.92,0.435898958,363.12,385.21,0.031753077,14.9054878,32.32
14/1/1981,0,5.515,0.435999653,388.13,394.95,0.031753077,15.05792683,31.83
15/1/1981,0,13.465,0.435999653,343.81,804.24,0.034021154,15.97256098,31.39
16/1/1981,0,17.225,0.435999653,303.62,1165.73,0.035533205,15.97256098,32.03
17/1/1981,0,12.77,0.435999653,328,825.27,0.034021154,17.11585366,32.17
18/1/1981,0,5.65,0.435999653,354.23,492.84,0.030997052,16.99390244,32.19
19/1/1981,0,7.085,0.436267361,378.9,475.38,0.030997052,17.74085366,32.17
20/1/1981,0,10.275,0.44,369.19,608.4,0.032509103,18.41158537,32.12
21/1/1981,7.42,14.765,0.44,210.05,1124.51,0.043849488,17.43597561,31.97
22/1/1981,0,10.705,0.44,303.16,806.43,0.045361539,17.22256098,31.55
23/1/1981,0,10.205,0.44,289.51,804.63,0.043849488,17.19207317,31.27
24/1/1981,5.09,12.47,0.44,168.46,1069.81,0.053677821,17.22256098,31.06
25/1/1981,0,10.97,0.441541088,349.29,736.42,0.056701924,17.29878049,30.85
26/1/1981,0,12.435,0.443999884,373.1,727.06,0.052921795,17.52743902,30.48
27/1/1981,0,12.985,0.443999884,392.73,687.2,0.051409744,18.16768293,30.33
28/1/1981,0.74,14.195,0.443999884,356.13,870.26,0.05216577,18.5945122,30.29
29/1/1981,0,13.38,0.443999884,370.53,791.51,0.052921795,18.91463415,30.11
30/1/1981,0,13.735,0.445541551,404.75,680.5,0.051409744,19.2347561,29.98
31/1/1981,0,15.65,0.448,375.27,866.73,0.051409744,19.79878049,29.95
1/2/1981,0,18.475,0.448,335.47,1186.77,0.051409744,20.02743902,29.95
2/2/1981,16.04,18.79,0.448,206.97,1480,0.068798334,20.08841463,29.79
3/2/1981,0,10.19,0.448,317.22,798.22,0.105843591,20.36280488,29.65
4/2/1981,0,7.375,0.452000116,368.71,543.07,0.075602565,20.56097561,29.57
5/2/1981,0,9.995,0.452000116,392.42,580.05,0.066530257,20.60670732,29.33
6/2/1981,0,13.985,0.452000116,410.62,671.48,0.065774231,20.60670732,29.27
7/2/1981,3.43,18.74,0.452000116,267.52,1283.36,0.073334488,20.85060976,29.08
8/2/1981,57.08,19.98,0.45508831,136.63,1870.79,0.786266674,21.06402439,29.21
9/2/1981,1.6,15.97,0.456,323.85,1195.13,3.402115417,21.18597561,29.3
10/2/1981,0,19.62,0.456,333.29,1454.88,4.248864144,21.55182927,29.49
11/2/1981,3.1,22.28,0.456,205.62,2006.02,4.029616706,21.64329268,29.71
12/2/1981,0,13.315,0.456267708,404.63,846.88,3.129946184,21.93292683,30.02
13/2/1981,0,14.64,0.459999769,353.92,1064.4,2.366360279,21.7347561,30.14
14/2/1981,0,17.85,0.459999769,314.3,1396.89,1.874943608,21.59756098,30.46
15/2/1981,0,19.165,0.459999769,276.75,1610.7,1.466689758,21.30792683,30.51
16/2/1981,0,21.13,0.461541319,281.81,1795.85,1.11891796,20.97256098,30.55
17/2/1981,0,22.48,0.464,316.2,1875.35,0.846748726,20.5,30.77
18/2/1981,9.51,22.305,0.464,228.19,2009.27,0.740905135,20.31707317,31.03
19/2/1981,0,20.965,0.464,318.57,1742.23,0.589700006,19.82926829,31.31
20/2/1981,0,19.12,0.467899306,378.01,1389.07,0.476296158,19.75304878,31.56
21/2/1981,0,17.705,0.468,391.85,1249.07,0.40825385,19.69207317,31.78
22/2/1981,0,17.215,0.468,445.16,1023.33,0.355332055,19.35670732,31.93
23/2/1981,0,17.51,0.468,367,1304.18,0.317530772,18.96036585,32.09
24/2/1981,0,13.715,0.472000116,437.85,871.85,0.27972949,18.53353659,32.19
25/2/1981,0,14.3,0.472000116,470.64,798.52,0.249488464,18.15243902,32.31
26/2/1981,0,16.32,0.472000116,447.21,989.87,0.234367951,17.81707317,32.36
27/2/1981,0,16.74,0.472000116,480.07,883.12,0.219247438,17.58841463,32.35
28/2/1981,0,17.395,0.476000116,477.83,933.86,0.196566669,17.3445122,32.32
1/3/1981,0,17.975,0.476000116,455.95,1065.23,0.181446156,17.19207317,32.3
2/3/1981,0,19.205,0.476000116,406.26,1341.46,0.166325643,17.00914634,32.21
3/3/1981,0,18.18,0.479999884,412.76,1193.61,0.15120513,16.93292683,32.12
4/3/1981,0,18.96,0.479999884,439.75,1112.83,0.136084617,16.94817073,31.96
5/3/1981,3.04,22.045,0.479999884,236.86,2001.42,0.12852436,16.99390244,31.84
6/3/1981,0,18.115,0.479999884,433.82,1107.97,0.120964104,17.02439024,31.77
7/3/1981,0,15.57,0.483999884,474.12,845.08,0.105843591,17.16158537,31.64
8/3/1981,0,18.76,0.483999884,416.13,1221.65,0.090723078,17.29878049,31.54
9/3/1981,0,20.505,0.483999884,369.46,1525.77,0.083162821,17.54268293,31.58
10/3/1981,0,19.46,0.488,395.29,1346.19,0.074090514,17.72560976,31.38
11/3/1981,0,16.805,0.488,428.94,1063.18,0.06955436,17.83231707,31.27
12/3/1981,0,16.355,0.488,431.83,1031.81,0.065774231,18.0304878,31.13
13/3/1981,0,17.345,0.488,372.86,1269.15,0.062750129,18.18292683,30.99
14/3/1981,0,17.395,0.492000231,365.07,1304.51,0.063506154,18.12195122,30.87
15/3/1981,0,17.465,0.492000231,495.79,896.65,0.059726026,18.42682927,30.72
16/3/1981,4.23,18.605,0.492000231,288.57,1409.29,0.063506154,18.5945122,30.49
17/3/1981,0,14.695,0.496,487.62,785.57,0.06426218,18.80792683,30.25
18/3/1981,0,17.94,0.496,425.02,1139.46,0.059726026,19.02134146,30
19/3/1981,6.42,18.67,0.496,237.98,1585.87,0.059726026,19.20426829,29.69
20/3/1981,0,13.5,0.496,368.04,1040.21,0.056701924,19.43292683,29.66
21/3/1981,0,13.245,0.500000116,517.2,669.07,0.051409744,19.78353659,29.37
22/3/1981,10.86,16.5,0.500000116,309.59,1213.94,0.120964104,20.14939024,29.2
23/3/1981,10.07,17.525,0.500000116,231.38,1552.3,0.83918847,20.5304878,29.16
24/3/1981,0,13.2,0.504000116,407.11,987.48,0.597260262,21.00304878,29.12
25/3/1981,0,13.81,0.504000116,499.4,811.36,0.370452568,21.04878049,28.6
26/3/1981,0,16.89,0.504000116,459.9,1088.51,0.272169233,21.49085366,28.12
27/3/1981,0,19.16,0.504000116,489.57,1124.15,0.219247438,21.75,27.98
28/3/1981,0,20.14,0.507999653,473.34,1238.11,0.189006412,21.75,27.94
29/3/1981,0,21.18,0.507999653,456.96,1380.63,0.158765386,21.87195122,28.06
30/3/1981,0,22.465,0.507999653,421.22,1629.66,0.136084617,22.66463415,28.15
31/3/1981,0,25.125,0.512000116,396.42,1994.18,0.113403847,23.39634146,28.15
1/4/1981,0,24.96,0.512000116,406.49,1939.09,0.105843591,23.6097561,28.11
2/4/1981,0,24.275,0.512000116,375.81,2009.06,0.090723078,23.67073171,28.1
3/4/1981,0,21.005,0.512000116,526.79,1132.32,0.083162821,23.48780488,28.06
4/4/1981,0,23.715,0.516,458.05,1597.89,0.06955436,23.35060976,27.86
5/4/1981,0,23.115,0.516,475.17,1480.95,0.063506154,23.35060976,27.66
6/4/1981,0,22.015,0.516,408.94,1657.9,0.058970001,23.41158537,27.46
7/4/1981,0,19.115,0.52,515.86,1071.48,0.052921795,23.42682927,27.36
8/4/1981,0,20.26,0.52,511.68,1146.45,0.049897693,23.48780488,27.11
9/4/1981,0,22.05,0.52,475.77,1402.27,0.047629616,23.79268293,26.86
10/4/1981,0,22.12,0.52,473.36,1416.59,0.046117565,24.09756098,26.61
11/4/1981,0,22.75,0.523999884,487.39,1406.35,0.040825385,24.40243902,26.26
12/4/1981,0,22.62,0.523999884,498.52,1346.73,0.038557308,24.55487805,25.86
13/4/1981,0,22.475,0.523999884,510.69,1280.45,0.037045257,24.93597561,25.36
14/4/1981,0,22.75,0.528000116,518.19,1270.34,0.034021154,25.31707317,24.96
15/4/1981,0,23.7,0.528000116,495.43,1425.98,0.030997052,25.69817073,24.61
16/4/1981,0,24.825,0.528000116,407.42,1905.04,0.027972949,26.23170732,24.36
17/4/1981,0,23.71,0.528000116,438.03,1674.58,0.026460898,26.84146341,24.11
18/4/1981,0,23.025,0.531999884,502.93,1346.51,0.027216923,27.60365854,23.76
19/4/1981,0,23.915,0.531999884,489.98,1459.37,0.024192821,28.21341463,24.36
20/4/1981,0,23.355,0.531999884,454.67,1567.38,0.021168718,28.74695122,22.86
21/4/1981,0,23.255,0.532100694,440.11,1614.13,0.019656667,29.12804878,22.36
22/4/1981,0,24.165,0.536000116,427.66,1697.38,0.019656667,29.50914634,21.96
23/4/1981,0,24.125,0.536000116,452.08,1589.2,0.021168718,30.04268293,21.66
24/4/1981,0,23.34,0.536000116,460.57,1496.74,0.019656667,29.12804878,21.36
25/4/1981,0,23.86,0.538458565,447,1562.01,0.019656667,31.41463415,21.11
26/4/1981,0,24.275,0.54,436.4,1645.32,0.015120513,32.17682927,20.86
27/4/1981,0,23.66,0.54,355.42,1934.13,0.013608462,32.78658537,20.61
28/4/1981,0,23.725,0.54,423.01,1661.99,0.020412693,33.24390244,20.46
29/4/1981,0,23.67,0.542458565,496.45,1356.03,0.018144616,33.70121951,20.26
30/4/1981,0,23.84,0.544,480.38,1427.66,0.015876539,34.08231707,20.11
1/5/1981,0,24.655,0.544,451.44,1609.29,0.013608462,34.46341463,19.86
2/5/1981,0,25.68,0.544,382.06,2010.05,0.013608462,34.8445122,19.71
3/5/1981,0,22.14,0.544911806,545.53,1062.46,0.009072308,35.07317073,19.61
4/5/1981,0,22.05,0.548,547.2,952.7,0.00529218,35.37804878,19.36
5/5/1981,0,22.705,0.548,550.49,970.6,0.004158141,35.60670732,19.26
6/5/1981,0,24.68,0.548,470.08,1399.09,0.00529218,35.98780488,19.11
7/5/1981,6.26,26.255,0.548,261.07,2342.17,0.009072308,36.21646341,18.86
8/5/1981,0,24.35,0.552,393.53,1752.13,0.011340385,36.36890244,18.66
9/5/1981,0,22.44,0.552,510.84,1126.51,0.009828333,36.75,18.61
10/5/1981,0,24.435,0.552,463.48,886.98,0.00529218,36.90243902,18.56
11/5/1981,0,23.84,0.552,495.29,772.54,0.004158141,37.13109756,18.46
12/5/1981,0,22.3,0.554458681,535.88,628.02,0.004158141,37.51219512,18.36
13/5/1981,0,21.965,0.556000116,579.71,525.81,0.003628923,37.81707317,18.31
14/5/1981,0,24.585,0.556000116,518.94,726.6,0.004687359,37.89329268,18.11
15/5/1981,0,24.915,0.556000116,516.51,751.96,0.006804231,37.9695122,17.96
16/5/1981,0,24.47,0.556000116,532.79,717.02,0.001965667,38.12195122,17.86
17/5/1981,0,26.36,0.558458681,522.2,800.25,0.002192474,38.27439024,17.76
18/5/1981,0,26.63,0.56,514.69,839.03,0.002797295,38.35060976,17.61
19/5/1981,0,26.12,0.56,506.92,821.84,0.003628923,38.6554878,17.56
20/5/1981,0,26.79,0.56,448.89,931.37,0.006048205,38.88414634,17.51
21/5/1981,0.24,25.625,0.56,403.34,904.97,0.006804231,39.03658537,17.46
22/5/1981,0,22.255,0.56,547.7,600,0.002494885,39.18902439,17.41
23/5/1981,0,22.985,0.563732523,552.81,600,0.001134038,39.41768293,17.36
24/5/1981,0,24.175,0.564000116,555.46,640.02,0.002192474,39.49390244,17.26
25/5/1981,0,24.77,0.564000116,538.66,719.86,0.001965667,39.57012195,17.18
26/5/1981,48.61,25.97,0.564000116,363.81,852.07,0.001663256,39.64634146,17.18
27/5/1981,33.52,26,0.564000116,299.94,1886.78,0.083162821,39.72256098,17.18
28/5/1981,2.86,27.445,0.564000116,307.79,2506.15,0.204126925,39.79878049,16.99
29/5/1981,0,25.295,0.56410081,462.72,1593.62,0.083162821,39.95121951,16.91
30/5/1981,0,26.325,0.568,486.41,1569.77,0.035533205,40.07317073,16.89
31/5/1981,0,27.04,0.568,494.84,1576.5,0.015120513,40.07317073,16.93
1/6/1981,5.15,27.475,0.568,380.12,2093.13,0.003628923,40.07317073,16.95
2/6/1981,6.25,27,0.568,398.46,1968.31,0.020412693,40.36280488,17
3/6/1981,11.15,28.225,0.568,362.05,2294.62,0.007560256,40.4847561,17.56
4/6/1981,19.8,27.735,0.568,298.92,2493.68,0.006804231,40.5152439,17.89
5/6/1981,30.43,28.01,0.568,287.21,2641.06,0.024948846,40.45426829,18.24
6/6/1981,25.87,28.44,0.568,311.15,2775.94,0.040825385,40.42378049,18.58
7/6/1981,0,28.39,0.56810081,361.87,2754.88,0.158765386,40.34756098,18.99
8/6/1981,24.13,28.115,0.570458449,249.71,2815.03,0.12852436,39.49390244,19.51
9/6/1981,0,27.925,0.572000116,330.18,2800,0.234367951,38.99085366,20.06
10/6/1981,0,28.7,0.572000116,343.63,2880,0.582139749,38.45731707,20.57
11/6/1981,9.55,28.455,0.572000116,329.69,2721.23,1.134038472,37.93902439,21.07
12/6/1981,0,28.395,0.572000116,414.06,2632.35,2.116871815,37.31402439,21.58
13/6/1981,0,28.26,0.572000116,409.03,2638.19,1.24744232,36.52134146,22.01
14/6/1981,0,28.415,0.572000116,446.32,2507.84,0.907230778,35.68292683,22.51
15/6/1981,0,28.41,0.572000116,465.79,2410.19,0.680423083,34.9054878,22.92
16/6/1981,0,28.73,0.572000116,469.3,2430.03,0.325091029,34.14329268,23.29
17/6/1981,0,29.935,0.572000116,438.64,2736.25,0.219247438,33.36585366,23.65
18/6/1981,0,29.915,0.572000116,427.48,2777.47,0.196566669,32.71036585,24.03
19/6/1981,25.81,29.05,0.572000116,336.04,2651.95,0.166325643,31.94817073,24.39
20/6/1981,12.7,28.44,0.572000116,315.89,2621.32,0.12852436,31.32317073,24.77
21/6/1981,10.64,27.785,0.572000116,302.76,2598.51,0.120964104,30.75914634,25.17
22/6/1981,22.68,26.975,0.572000116,266.03,2640,0.143644873,30.21036585,25.55
23/6/1981,15.91,27.455,0.572000116,268.46,2713.89,0.196566669,29.63109756,25.87
24/6/1981,13.77,27.68,0.572000116,297.38,2644.78,0.294850003,29.08231707,26.17
25/6/1981,4.68,27.995,0.572000116,327.12,2560,0.332651285,28.50304878,26.42
26/6/1981,21.54,27.42,0.572000116,343.13,2395.44,0.302410259,27.89329268,26.72
27/6/1981,21.52,26.62,0.572000116,335.08,2320,0.27972949,27.31402439,27.06
28/6/1981,12.06,26.855,0.572000116,331.19,2400,0.241928207,26.82621951,27.39
29/6/1981,0,27.03,0.572000116,421.62,2475.57,0.204126925,26.36890244,27.66
30/6/1981,0,26.23,0.572000116,458.62,2280,0.158765386,25.98780488,27.94
1/7/1981,0,25,0.572000116,493.79,2000,0.113403847,25.5304878,28.2
2/7/1981,0,26.51,0.572000116,466.24,2281.45,0.083162821,25.01219512,28.48
3/7/1981,0,27.5,0.572000116,440.11,2480,0.06426218,24.50914634,28.73
4/7/1981,0,27.39,0.571732523,456.22,2400,0.075602565,24.09756098,28.98
5/7/1981,0,27.72,0.568911574,446.42,2480,0.049897693,23.67073171,29.21
6/7/1981,0,28.485,0.568,429.24,2645.06,0.03477718,23.27439024,29.5
7/7/1981,0,28.965,0.568,428.7,2708.24,0.021168718,22.84756098,29.77
8/7/1981,0,28.995,0.568,429.29,2702.07,0.013608462,22.46646341,29.98
9/7/1981,0,28.14,0.568,434.61,2558.97,0.016632564,22.08536585,30.15
10/7/1981,0,28.5,0.568,401.82,2720,0.01209641,21.7347561,30.37
11/7/1981,0,28.82,0.568,392.32,2795.9,0.030997052,21.29268293,30.57
12/7/1981,12.04,28.08,0.568,333.87,2506.13,0.075602565,20.88109756,30.73
13/7/1981,13.42,28.205,0.568,330.8,2536.02,0.056701924,20.56097561,30.88
14/7/1981,0,28.835,0.566458681,415.3,2719.64,0.043849488,20.30182927,30.96
15/7/1981,19.11,29.215,0.564000116,292.43,2880,0.027216923,19.96646341,31.13
16/7/1981,0,29.52,0.564000116,379.69,2980.53,0.021924744,19.66158537,31.31
17/7/1981,9.45,29.08,0.564000116,306.52,2836.5,0.018144616,19.41768293,31.44
18/7/1981,13.16,28.925,0.564000116,318.52,2891.29,0.027216923,19.18902439,31.55
19/7/1981,6.33,28.65,0.564000116,279.75,2861.02,0.024948846,19.06707317,31.67
