# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-02-08 06:40:09 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 271538082002301 AMAX NO 3 WELL NEAR PINE LEVEL FL
# -----------------------------------------------------------------------------------
#
# Data provided for site 271538082002301
#            TS   parameter     statistic     Description
#        251411       62611     00001     Groundwater level above NAVD 1988, feet (Maximum)
#         28739       62610     00001     Groundwater level above NGVD 1929, feet (Maximum)
#            00       72019     00011     Depth to water level, feet below land surface (Instantaneous)
#            00       62610     00011     Groundwater level above NGVD 1929, feet (Instantaneous)
#            00       62611     00011     Groundwater level above NAVD 1988, feet (Instantaneous)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=271538082002301&ts_ids=28739]
# 
# Discrete groundwater status codes included in this output:
#  '00_62610_00011_cd'
#  '00_62611_00011_cd'
#  '00_72019_00011_cd'
#
#     1          Not determined
#
#     A          Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	251411_62611_00001	251411_62611_00001_cd	28739_62610_00001	28739_62610_00001_cd	00_62610_00011	00_62610_00011_cd	00_62611_00011	00_62611_00011_cd	00_72019_00011	00_72019_00011_cd
USGS	271538082002301	1985-04-08		36.86	A	37.91	A:R						
USGS	271538082002301	1985-04-09		36.76	A	37.81	A:R						
USGS	271538082002301	1985-04-10		36.43	A	37.48	A:R						
USGS	271538082002301	1985-04-11		36.18	A	37.23	A:R						
USGS	271538082002301	1985-04-12		36.02	A	37.07	A:R						
USGS	271538082002301	1985-04-13		36.45	A	37.50	A:R						
USGS	271538082002301	1985-04-14		36.71	A	37.76	A:R						
USGS	271538082002301	1985-04-15		36.89	A	37.94	A:R						
USGS	271538082002301	1985-04-16		37.15	A	38.20	A:R						
USGS	271538082002301	1985-04-17		37.22	A	38.27	A:R						
USGS	271538082002301	1985-04-18		37.29	A	38.34	A:R						
USGS	271538082002301	1985-04-19		37.37	A	38.42	A:R						
USGS	271538082002301	1985-04-20		37.34	A	38.39	A:R						
USGS	271538082002301	1985-04-21		37.30	A	38.35	A:R						
USGS	271538082002301	1985-04-22		37.35	A	38.40	A:R						
USGS	271538082002301	1985-04-23		37.16	A	38.21	A:R						
USGS	271538082002301	1985-04-24		36.75	A	37.80	A:R						
USGS	271538082002301	1985-04-25		36.35	A	37.40	A:R						
USGS	271538082002301	1985-04-26		35.85	A	36.90	A:R						
USGS	271538082002301	1985-04-27		35.31	A	36.36	A:R						
USGS	271538082002301	1985-04-28		34.86	A	35.91	A:R						
USGS	271538082002301	1985-04-29		34.69	A	35.74	A:R						
USGS	271538082002301	1985-04-30		34.50	A	35.55	A:R						
USGS	271538082002301	1985-05-01		34.08	A	35.13	A:R						
USGS	271538082002301	1985-05-02		33.84	A	34.89	A:R						
USGS	271538082002301	1985-05-03		33.59	A	34.64	A:R						
USGS	271538082002301	1985-05-04		33.62	A	34.67	A:R						
USGS	271538082002301	1985-05-05		34.05	A	35.10	A:R						
USGS	271538082002301	1985-05-06		34.24	A	35.29	A:R						
USGS	271538082002301	1985-05-07		34.29	A	35.34	A:R						
USGS	271538082002301	1985-05-08		34.29	A	35.34	A:R						
USGS	271538082002301	1985-05-09		34.22	A	35.27	A:R						
USGS	271538082002301	1985-05-10		33.98	A	35.03	A:R						
USGS	271538082002301	1985-05-11		33.90	A	34.95	A:R						
USGS	271538082002301	1985-05-12		34.15	A	35.20	A:R						
USGS	271538082002301	1985-05-13		34.32	A	35.37	A:R						
USGS	271538082002301	1985-05-14		34.18	A	35.23	A:R						
USGS	271538082002301	1985-05-15		33.82	A	34.87	A:R						
USGS	271538082002301	1985-05-16		33.91	A	34.96	A:R						
USGS	271538082002301	1985-05-17		33.87	A	34.92	A:R						
USGS	271538082002301	1985-05-18		33.83	A	34.88	A:R						
USGS	271538082002301	1985-05-19		33.84	A	34.89	A:R						
USGS	271538082002301	1985-05-20		33.83	A	34.88	A:R						
USGS	271538082002301	1985-05-21		33.67	A	34.72	A:R						
USGS	271538082002301	1985-05-22		33.37	A	34.42	A:R						
USGS	271538082002301	1985-05-23		33.15	A	34.20	A:R						
USGS	271538082002301	1985-05-24		33.16	A	34.21	A:R						
USGS	271538082002301	1985-05-25		33.50	A	34.55	A:R						
USGS	271538082002301	1985-05-26		33.83	A	34.88	A:R						
USGS	271538082002301	1985-05-27		34.03	A	35.08	A:R						
USGS	271538082002301	1985-05-28		34.07	A	35.12	A:R						
USGS	271538082002301	1985-05-29		34.00	A	35.05	A:R						
USGS	271538082002301	1985-05-30		33.80	A	34.85	A:R						
USGS	271538082002301	1985-05-31		33.56	A	34.61	A:R						
USGS	271538082002301	1985-06-01		33.17	A	34.22	A:R						
USGS	271538082002301	1985-06-02		33.27	A	34.32	A:R						
USGS	271538082002301	1985-06-03		33.32	A	34.37	A:R						
USGS	271538082002301	1985-06-04		33.12	A	34.17	A:R						
USGS	271538082002301	1985-06-05		32.91	A	33.96	A:R						
USGS	271538082002301	1985-06-06		32.81	A	33.86	A:R						
USGS	271538082002301	1985-06-07		32.61	A	33.66	A:R						
USGS	271538082002301	1985-06-08		32.50	A	33.55	A:R						
USGS	271538082002301	1985-06-09		32.51	A	33.56	A:R						
USGS	271538082002301	1985-06-10		32.56	A	33.61	A:R						
USGS	271538082002301	1985-06-11		32.65	A	33.70	A:R						
USGS	271538082002301	1985-06-12		32.77	A	33.82	A:R						
USGS	271538082002301	1985-06-13		33.21	A	34.26	A:R						
USGS	271538082002301	1985-06-14		33.78	A	34.83	A:R						
USGS	271538082002301	1985-06-15		34.38	A	35.43	A:R						
USGS	271538082002301	1985-06-16		34.84	A	35.89	A:R						
USGS	271538082002301	1985-06-17		35.27	A	36.32	A:R						
USGS	271538082002301	1985-06-18		35.56	A	36.61	A:R						
USGS	271538082002301	1985-06-19		35.79	A	36.84	A:R						
USGS	271538082002301	1985-06-20		36.00	A	37.05	A:R						
USGS	271538082002301	1985-06-21		36.19	A	37.24	A:R						
USGS	271538082002301	1985-06-22		36.51	A	37.56	A:R						
USGS	271538082002301	1985-06-23		36.80	A	37.85	A:R						
USGS	271538082002301	1985-06-24		37.02	A	38.07	A:R						
USGS	271538082002301	1985-06-25		37.18	A	38.23	A:R						
USGS	271538082002301	1985-06-26		37.45	A	38.50	A:R						
USGS	271538082002301	1985-06-27		37.70	A	38.75	A:R						
USGS	271538082002301	1985-06-28		37.91	A	38.96	A:R						
USGS	271538082002301	1985-06-29		38.07	A	39.12	A:R						
USGS	271538082002301	1985-06-30		38.23	A	39.28	A:R						
USGS	271538082002301	1985-07-01		38.34	A	39.39	A:R						
USGS	271538082002301	1985-07-02		38.51	A	39.56	A:R						
USGS	271538082002301	1985-07-03		38.69	A	39.74	A:R						
USGS	271538082002301	1985-07-04		38.81	A	39.86	A:R						
USGS	271538082002301	1985-07-05		38.93	A	39.98	A:R						
USGS	271538082002301	1985-07-06		39.02	A	40.07	A:R						
USGS	271538082002301	1985-07-07		39.13	A	40.18	A:R						
USGS	271538082002301	1985-07-08		39.26	A	40.31	A:R						
USGS	271538082002301	1985-07-09		39.41	A	40.46	A:R						
USGS	271538082002301	1985-07-10		39.47	A	40.52	A:R						
USGS	271538082002301	1985-07-11		39.48	A	40.53	A:R						
USGS	271538082002301	1985-07-12		39.52	A	40.57	A:R						
USGS	271538082002301	1985-07-13		39.55	A	40.60	A:R						
USGS	271538082002301	1985-07-14		39.67	A	40.72	A:R						
USGS	271538082002301	1985-07-15		39.83	A	40.88	A:R						
USGS	271538082002301	1985-07-16		39.97	A	41.02	A:R						
USGS	271538082002301	1985-07-17		40.04	A	41.09	A:R						
USGS	271538082002301	1985-07-18		40.06	A	41.11	A:R						
USGS	271538082002301	1985-07-19		40.08	A	41.13	A:R						
USGS	271538082002301	1985-07-20		40.25	A	41.30	A:R						
USGS	271538082002301	1985-07-21		40.41	A	41.46	A:R						
USGS	271538082002301	1985-07-22		40.68	A	41.73	A:R						
USGS	271538082002301	1985-07-23		40.81	A	41.86	A:R						
USGS	271538082002301	1985-07-24		40.79	A	41.84	A:R						
USGS	271538082002301	1985-07-25		40.67	A	41.72	A:R						
USGS	271538082002301	1985-07-26		40.62	A	41.67	A:R						
USGS	271538082002301	1985-07-27		40.76	A	41.81	A:R						
USGS	271538082002301	1985-07-28		40.88	A	41.93	A:R						
USGS	271538082002301	1985-07-29		40.92	A	41.97	A:R						
USGS	271538082002301	1985-07-30		40.92	A	41.97	A:R						
USGS	271538082002301	1985-07-31		41.08	A	42.13	A:R						
USGS	271538082002301	1985-08-01		41.28	A	42.33	A:R						
USGS	271538082002301	1985-08-02		41.45	A	42.50	A:R						
USGS	271538082002301	1985-08-03		41.56	A	42.61	A:R						
USGS	271538082002301	1985-08-04		41.65	A	42.70	A:R						
USGS	271538082002301	1985-08-05		41.76	A	42.81	A:R						
USGS	271538082002301	1985-08-06		41.77	A	42.82	A:R						
USGS	271538082002301	1985-08-07		41.82	A	42.87	A:R						
USGS	271538082002301	1985-08-07 14:38	UTC									16.36	1:A
USGS	271538082002301	1985-08-08		41.96	A	43.01	A:R						
USGS	271538082002301	1985-08-09		42.08	A	43.13	A:R						
USGS	271538082002301	1985-08-10		42.23	A	43.28	A:R						
USGS	271538082002301	1985-08-11		42.34	A	43.39	A:R						
USGS	271538082002301	1985-08-12		42.36	A	43.41	A:R						
USGS	271538082002301	1985-08-13		42.29	A	43.34	A:R						
USGS	271538082002301	1985-08-14		42.40	A	43.45	A:R						
USGS	271538082002301	1985-08-15		42.47	A	43.52	A:R						
USGS	271538082002301	1985-08-16		42.54	A	43.59	A:R						
USGS	271538082002301	1985-08-17		42.57	A	43.62	A:R						
USGS	271538082002301	1985-08-18		42.54	A	43.59	A:R						
USGS	271538082002301	1985-08-19		42.52	A	43.57	A:R						
USGS	271538082002301	1985-08-20		42.52	A	43.57	A:R						
USGS	271538082002301	1985-08-21		42.66	A	43.71	A:R						
USGS	271538082002301	1985-08-22		42.82	A	43.87	A:R						
USGS	271538082002301	1985-08-23		42.94	A	43.99	A:R						
USGS	271538082002301	1985-08-24		42.97	A	44.02	A:R						
USGS	271538082002301	1985-08-25		43.00	A	44.05	A:R						
USGS	271538082002301	1985-08-26		42.92	A	43.97	A:R						
USGS	271538082002301	1985-08-27		42.91	A	43.96	A:R						
USGS	271538082002301	1985-08-28		42.94	A	43.99	A:R						
USGS	271538082002301	1985-08-29		43.03	A	44.08	A:R						
USGS	271538082002301	1985-08-30		43.19	A	44.24	A:R						
USGS	271538082002301	1985-08-31		43.44	A	44.49	A:R						
USGS	271538082002301	1985-09-01		43.46	A	44.51	A:R						
USGS	271538082002301	1985-09-02		43.42	A	44.47	A:R						
USGS	271538082002301	1985-09-03		43.52	A	44.57	A:R						
USGS	271538082002301	1985-09-04		43.58	A	44.63	A:R						
USGS	271538082002301	1985-09-05		43.68	A	44.73	A:R						
USGS	271538082002301	1985-09-06		43.75	A	44.80	A:R						
USGS	271538082002301	1985-09-07		43.78	A	44.83	A:R						
USGS	271538082002301	1985-09-08		43.77	A	44.82	A:R						
USGS	271538082002301	1985-09-09		43.87	A	44.92	A:R						
USGS	271538082002301	1985-09-10		43.94	A	44.99	A:R						
USGS	271538082002301	1985-09-11		43.90	A	44.95	A:R						
USGS	271538082002301	1985-09-12		43.84	A	44.89	A:R						
USGS	271538082002301	1985-09-13		43.77	A	44.82	A:R						
USGS	271538082002301	1985-09-14		43.73	A	44.78	A:R						
USGS	271538082002301	1985-09-15		43.78	A	44.83	A:R						
USGS	271538082002301	1985-09-16		43.80	A	44.85	A:R						
USGS	271538082002301	1985-09-17		43.70	A	44.75	A:R						
USGS	271538082002301	1985-09-18		43.65	A	44.70	A:R						
USGS	271538082002301	1985-09-19		43.82	A	44.87	A:R						
USGS	271538082002301	1985-09-20		44.03	A	45.08	A:R						
USGS	271538082002301	1985-09-21		44.13	A	45.18	A:R						
USGS	271538082002301	1985-09-22		44.18	A	45.23	A:R						
USGS	271538082002301	1985-09-23		44.18	A	45.23	A:R						
USGS	271538082002301	1985-09-24		44.25	A	45.30	A:R						
USGS	271538082002301	1985-09-25		44.29	A	45.34	A:R						
USGS	271538082002301	1985-09-26		44.36	A	45.41	A:R						
USGS	271538082002301	1985-09-27		44.26	A	45.31	A:R						
USGS	271538082002301	1985-09-28		44.11	A	45.16	A:R						
USGS	271538082002301	1985-09-29		44.11	A	45.16	A:R						
USGS	271538082002301	1985-09-30		44.13	A	45.18	A:R						
USGS	271538082002301	1985-10-01		44.10	A	45.15	A:R						
USGS	271538082002301	1985-10-02		44.01	A	45.06	A:R						
USGS	271538082002301	1985-10-02 14:17	UTC									14.17	1:A
USGS	271538082002301	1985-10-03		43.82	A	44.87	A:R						
USGS	271538082002301	1985-10-04		43.94	A	44.99	A:R						
USGS	271538082002301	1985-10-05		43.99	A	45.04	A:R						
USGS	271538082002301	1985-10-06		44.08	A	45.13	A:R						
USGS	271538082002301	1985-10-07		44.02	A	45.07	A:R						
USGS	271538082002301	1985-10-08		43.93	A	44.98	A:R						
USGS	271538082002301	1985-10-09		43.89	A	44.94	A:R						
USGS	271538082002301	1985-10-10		43.88	A	44.93	A:R						
USGS	271538082002301	1985-10-11		43.88	A	44.93	A:R						
USGS	271538082002301	1985-10-12		43.79	A	44.84	A:R						
USGS	271538082002301	1985-10-13		43.75	A	44.80	A:R						
USGS	271538082002301	1985-10-14		43.89	A	44.94	A:R						
USGS	271538082002301	1985-10-15		43.87	A	44.92	A:R						
USGS	271538082002301	1985-10-16		43.80	A	44.85	A:R						
USGS	271538082002301	1985-10-17		43.76	A	44.81	A:R						
USGS	271538082002301	1985-10-18		43.69	A	44.74	A:R						
USGS	271538082002301	1985-10-19		43.68	A	44.73	A:R						
USGS	271538082002301	1985-10-20		43.78	A	44.83	A:R						
USGS	271538082002301	1985-10-21		43.77	A	44.82	A:R						
USGS	271538082002301	1985-10-22		43.67	A	44.72	A:R						
USGS	271538082002301	1985-10-23		43.57	A	44.62	A:R						
USGS	271538082002301	1985-10-24		43.50	A	44.55	A:R						
USGS	271538082002301	1985-10-25		43.51	A	44.56	A:R						
USGS	271538082002301	1985-10-26		43.46	A	44.51	A:R						
USGS	271538082002301	1985-10-27		43.47	A	44.52	A:R						
USGS	271538082002301	1985-10-28		43.52	A	44.57	A:R						
USGS	271538082002301	1985-10-29		43.51	A	44.56	A:R						
USGS	271538082002301	1985-10-30		43.51	A	44.56	A:R						
USGS	271538082002301	1985-10-31		43.59	A	44.64	A:R						
USGS	271538082002301	1985-11-01		43.69	A	44.74	A:R						
USGS	271538082002301	1985-11-02		43.68	A	44.73	A:R						
USGS	271538082002301	1985-11-03		43.75	A	44.80	A:R						
USGS	271538082002301	1985-11-04		43.80	A	44.85	A:R						
USGS	271538082002301	1985-11-05		43.76	A	44.81	A:R						
USGS	271538082002301	1985-11-06		43.70	A	44.75	A:R						
USGS	271538082002301	1985-11-07		43.64	A	44.69	A:R						
USGS	271538082002301	1985-11-08		43.57	A	44.62	A:R						
USGS	271538082002301	1985-11-09		43.52	A	44.57	A:R						
USGS	271538082002301	1985-11-10		43.53	A	44.58	A:R						
USGS	271538082002301	1985-11-11		43.47	A	44.52	A:R						
USGS	271538082002301	1985-11-12		43.37	A	44.42	A:R						
USGS	271538082002301	1985-11-13		43.27	A	44.32	A:R						
USGS	271538082002301	1985-11-14		43.17	A	44.22	A:R						
USGS	271538082002301	1985-11-15		43.03	A	44.08	A:R						
USGS	271538082002301	1985-11-16		42.92	A	43.97	A:R						
USGS	271538082002301	1985-11-17		42.89	A	43.94	A:R						
USGS	271538082002301	1985-11-18		42.89	A	43.94	A:R						
USGS	271538082002301	1985-11-19		42.95	A	44.00	A:R						
USGS	271538082002301	1985-11-20		42.94	A	43.99	A:R						
USGS	271538082002301	1985-11-21		42.99	A	44.04	A:R						
USGS	271538082002301	1985-11-22		42.96	A	44.01	A:R						
USGS	271538082002301	1985-11-23		42.90	A	43.95	A:R						
USGS	271538082002301	1985-11-24		42.87	A	43.92	A:R						
USGS	271538082002301	1985-11-25		42.88	A	43.93	A:R						
USGS	271538082002301	1985-11-26		42.79	A	43.84	A:R						
USGS	271538082002301	1985-11-27		42.65	A	43.70	A:R						
USGS	271538082002301	1985-11-28		42.46	A	43.51	A:R						
USGS	271538082002301	1985-11-29		42.41	A	43.46	A:R						
USGS	271538082002301	1985-11-30		42.34	A	43.39	A:R						
USGS	271538082002301	1985-12-01		42.27	A	43.32	A:R						
USGS	271538082002301	1985-12-02		42.28	A	43.33	A:R						
USGS	271538082002301	1985-12-03		42.12	A	43.17	A:R						
USGS	271538082002301	1985-12-04		41.97	A	43.02	A:R						
USGS	271538082002301	1985-12-04 14:25	UTC									16.21	1:A
USGS	271538082002301	1985-12-05		41.96	A	43.01	A:R						
USGS	271538082002301	1985-12-06		41.95	A	43.00	A:R						
USGS	271538082002301	1985-12-07		41.90	A	42.95	A:R						
USGS	271538082002301	1985-12-08		41.98	A	43.03	A:R						
USGS	271538082002301	1985-12-09		42.08	A	43.13	A:R						
USGS	271538082002301	1985-12-10		41.96	A	43.01	A:R						
USGS	271538082002301	1985-12-11		41.79	A	42.84	A:R						
USGS	271538082002301	1985-12-12		41.49	A	42.54	A:R						
USGS	271538082002301	1985-12-13		41.35	A	42.40	A:R						
USGS	271538082002301	1985-12-14		41.28	A	42.33	A:R						
USGS	271538082002301	1985-12-15		41.05	A	42.10	A:R						
USGS	271538082002301	1985-12-16		40.98	A	42.03	A:R						
USGS	271538082002301	1985-12-17		40.85	A	41.90	A:R						
USGS	271538082002301	1985-12-18		40.79	A	41.84	A:R						
USGS	271538082002301	1985-12-19		40.70	A	41.75	A:R						
USGS	271538082002301	1985-12-20		40.47	A	41.52	A:R						
USGS	271538082002301	1985-12-21		40.31	A	41.36	A:R						
USGS	271538082002301	1985-12-22		40.35	A	41.40	A:R						
USGS	271538082002301	1985-12-23		40.45	A	41.50	A:R						
USGS	271538082002301	1985-12-24		40.35	A	41.40	A:R						
USGS	271538082002301	1985-12-25		40.19	A	41.24	A:R						
USGS	271538082002301	1985-12-26		39.74	A	40.79	A:R						
USGS	271538082002301	1985-12-27		39.27	A	40.32	A:R						
USGS	271538082002301	1985-12-28		38.80	A	39.85	A:R						
USGS	271538082002301	1985-12-29		38.81	A	39.86	A:R						
USGS	271538082002301	1985-12-30		38.97	A	40.02	A:R						
USGS	271538082002301	1985-12-31		39.08	A	40.13	A:R						
USGS	271538082002301	1986-01-01		39.23	A	40.28	A:R						
USGS	271538082002301	1986-01-02		39.27	A	40.32	A:R						
USGS	271538082002301	1986-01-03		39.18	A	40.23	A:R						
USGS	271538082002301	1986-01-04		39.20	A	40.25	A:R						
USGS	271538082002301	1986-01-05		39.20	A	40.25	A:R						
USGS	271538082002301	1986-01-06		39.31	A	40.36	A:R						
USGS	271538082002301	1986-01-07		39.47	A	40.52	A:R						
USGS	271538082002301	1986-01-08		39.48	A	40.53	A:R						
USGS	271538082002301	1986-01-09		39.80	A	40.85	A:R						
USGS	271538082002301	1986-01-10		40.35	A	41.40	A:R						
USGS	271538082002301	1986-01-11		40.45	A	41.50	A:R						
USGS	271538082002301	1986-01-12		40.67	A	41.72	A:R						
USGS	271538082002301	1986-01-13		40.71	A	41.76	A:R						
USGS	271538082002301	1986-01-14		40.63	A	41.68	A:R						
USGS	271538082002301	1986-01-15		40.46	A	41.51	A:R						
USGS	271538082002301	1986-01-15 19:55	UTC									17.84	1:A
USGS	271538082002301	1986-01-16		40.11	A	41.16	A:R						
USGS	271538082002301	1986-01-17		40.07	A	41.12	A:R						
USGS	271538082002301	1986-01-18		40.38	A	41.43	A:R						
USGS	271538082002301	1986-01-19		40.53	A	41.58	A:R						
USGS	271538082002301	1986-01-20		40.51	A	41.56	A:R						
USGS	271538082002301	1986-01-21		40.42	A	41.47	A:R						
USGS	271538082002301	1986-01-22		40.20	A	41.25	A:R						
USGS	271538082002301	1986-01-23		39.90	A	40.95	A:R						
USGS	271538082002301	1986-01-24		39.73	A	40.78	A:R						
USGS	271538082002301	1986-01-25		39.56	A	40.61	A:R						
USGS	271538082002301	1986-01-26		39.56	A	40.61	A:R						
USGS	271538082002301	1986-01-27		39.53	A	40.58	A:R						
USGS	271538082002301	1986-01-28		39.02	A	40.07	A:R						
USGS	271538082002301	1986-01-29		38.17	A	39.22	A:R						
USGS	271538082002301	1986-01-30		37.53	A	38.58	A:R						
USGS	271538082002301	1986-01-31		37.67	A	38.72	A:R						
USGS	271538082002301	1986-02-01		37.78	A	38.83	A:R						
USGS	271538082002301	1986-02-02		37.95	A	39.00	A:R						
USGS	271538082002301	1986-02-03		38.27	A	39.32	A:R						
USGS	271538082002301	1986-02-04		38.31	A	39.36	A:R						
USGS	271538082002301	1986-02-04 21:57	UTC									19.90	1:A
USGS	271538082002301	1986-02-05		38.24	A	39.29	A:R						
USGS	271538082002301	1986-02-06		38.17	A	39.22	A:R						
USGS	271538082002301	1986-02-07		38.06	A	39.11	A:R						
USGS	271538082002301	1986-02-08		38.03	A	39.08	A:R						
USGS	271538082002301	1986-02-09		38.49	A	39.54	A:R						
USGS	271538082002301	1986-02-10		38.88	A	39.93	A:R						
USGS	271538082002301	1986-02-11		38.90	A	39.95	A:R						
USGS	271538082002301	1986-02-12		39.03	A	40.08	A:R						
USGS	271538082002301	1986-02-13		38.96	A	40.01	A:R						
USGS	271538082002301	1986-02-14		39.02	A	40.07	A:R						
USGS	271538082002301	1986-02-15		39.13	A	40.18	A:R						
USGS	271538082002301	1986-02-16		39.41	A	40.46	A:R						
USGS	271538082002301	1986-02-17		39.55	A	40.60	A:R						
USGS	271538082002301	1986-02-18		39.55	A	40.60	A:R						
USGS	271538082002301	1986-02-19		39.56	A	40.61	A:R						
USGS	271538082002301	1986-02-20		39.52	A	40.57	A:R						
USGS	271538082002301	1986-02-21		39.35	A	40.40	A:R						
USGS	271538082002301	1986-02-22		39.36	A	40.41	A:R						
USGS	271538082002301	1986-02-23		39.53	A	40.58	A:R						
USGS	271538082002301	1986-02-24		39.87	A	40.92	A:R						
USGS	271538082002301	1986-02-25		40.06	A	41.11	A:R						
USGS	271538082002301	1986-02-26		40.12	A	41.17	A:R						
USGS	271538082002301	1986-02-27		40.22	A	41.27	A:R						
USGS	271538082002301	1986-02-28		40.10	A	41.15	A:R						
USGS	271538082002301	1986-03-01		39.90	A	40.95	A:R						
USGS	271538082002301	1986-03-02		39.17	A	40.22	A:R						
USGS	271538082002301	1986-03-03		38.44	A	39.49	A:R						
USGS	271538082002301	1986-03-04		37.93	A	38.98	A:R						
USGS	271538082002301	1986-03-05		38.06	A	39.11	A:R						
USGS	271538082002301	1986-03-06		38.28	A	39.33	A:R						
USGS	271538082002301	1986-03-07		38.31	A	39.36	A:R						
USGS	271538082002301	1986-03-08		38.24	A	39.29	A:R						
USGS	271538082002301	1986-03-09		38.27	A	39.32	A:R						
USGS	271538082002301	1986-03-10		38.69	A	39.74	A:R						
USGS	271538082002301	1986-03-11		39.16	A	40.21	A:R						
USGS	271538082002301	1986-03-12		39.51	A	40.56	A:R						
USGS	271538082002301	1986-03-13		39.76	A	40.81	A:R						
USGS	271538082002301	1986-03-14		40.06	A	41.11	A:R						
USGS	271538082002301	1986-03-15		40.43	A	41.48	A:R						
USGS	271538082002301	1986-03-16		40.67	A	41.72	A:R						
USGS	271538082002301	1986-03-17		40.76	A	41.81	A:R						
USGS	271538082002301	1986-03-18		40.88	A	41.93	A:R						
USGS	271538082002301	1986-03-19		40.96	A	42.01	A:R						
USGS	271538082002301	1986-03-20		40.96	A	42.01	A:R						
USGS	271538082002301	1986-03-21		40.87	A	41.92	A:R						
