date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(mm),GW(feet)
29/9/1980,0,27.55,0.488000116,396.3,2559.17,0,8.307926829,26.48
30/9/1980,0,27.625,0.488000116,404.62,2519.57,0,8.384146341,26.32
1/10/1980,5.6,27.25,0.488000116,296.67,2560,0,8.460365854,26.13
2/10/1980,0,26.88,0.483999884,352.39,2601.23,0,8.460365854,27.58
3/10/1980,4.99,25.23,0.483999884,254.13,2400,0.000538992,8.536585366,28.3
4/10/1980,0,23.66,0.483999884,366.16,2120,0.005030589,8.612804878,28.34
5/10/1980,0,23.475,0.482650116,419.08,1916.45,0.004132269,8.612804878,28.32
6/10/1980,0,22.725,0.48,441.35,1756.04,0.000538992,8.612804878,28.15
7/10/1980,0,23.51,0.48,372.26,2081.36,0,8.612804878,28.045
8/10/1980,0,24.28,0.48,330.08,2281.57,0,8.612804878,27.94
9/10/1980,0,24.95,0.476,314.44,2392.42,0,8.612804878,27.65
10/10/1980,9.3,25.07,0.476,225.01,2448.52,0,8.612804878,27.34
11/10/1980,0,24.885,0.476,344.91,2300.76,0,8.612804878,26.99
12/10/1980,0,23.095,0.475921528,437.93,1752.26,0,8.612804878,26.52
13/10/1980,0,22.07,0.472,443.65,1611.13,0,8.612804878,26.27
14/10/1980,0,22.51,0.472,420.64,1742.15,0,8.612804878,26.48
15/10/1980,0,23.565,0.472,377.74,1987.65,0,8.612804878,26.19
16/10/1980,0,24.655,0.468,351.35,2200.43,0,8.612804878,25.98
17/10/1980,0,25.23,0.468,330.49,2316.67,0,8.612804878,25.85
18/10/1980,0,25.915,0.468,338.97,2372.47,0,8.612804878,25.74
19/10/1980,0,25.37,0.468,377.05,2158.43,0,8.612804878,25.67
20/10/1980,0,25.32,0.463999884,357.95,2222.92,0,8.612804878,25.59
21/10/1980,0,25.69,0.463999884,348.13,2292.53,0,8.612804878,25.53
22/10/1980,0,25.335,0.463999884,333.64,2293.38,0,8.612804878,25.53
23/10/1980,0,25.635,0.463999884,317.35,2362.88,0,8.612804878,25.52
24/10/1980,0,24.455,0.459999884,355.5,2094.67,0,8.612804878,25.51
25/10/1980,0,24.255,0.459999884,336.12,2117.59,0,8.612804878,25.97
26/10/1980,0,18.98,0.459999884,428.24,1272.66,0,8.612804878,25.8
27/10/1980,0,20.06,0.459921412,408.79,1409.36,0,8.612804878,25.68
28/10/1980,0,25.895,0.455999884,308.2,2379.79,0,8.612804878,25.59
29/10/1980,0,25.55,0.455999884,324.09,2287.3,0,9.588414634,25.54
30/10/1980,0,27.075,0.455999884,296.04,2584.67,0,9.588414634,25.51
31/10/1980,0,24.985,0.455999884,314.31,2248.14,0,9.588414634,25.43
1/11/1980,0,21.915,0.452,310.13,1885.48,0,9.588414634,25.43
2/11/1980,0,21.85,0.452,300.29,1895.64,0,9.588414634,25.43
3/11/1980,0,23.02,0.452,326.3,1926.6,0,9.588414634,25.41
4/11/1980,0,24.135,0.452,289.45,2194.99,0,9.588414634,25.4
5/11/1980,0,22.465,0.448,311.96,1911.98,0,9.847560976,25.4
6/11/1980,0,16.795,0.448,414.65,1062.01,0,9.847560976,25.36
7/11/1980,0,17.84,0.448,392.31,1214.45,0,9.87804878,25.36
8/11/1980,0,21.125,0.448,359.29,1580,0,9.87804878,25.33
9/11/1980,0,23.61,0.446650231,283.56,2097.2,0,9.923780488,25.36
10/11/1980,4.96,24.59,0.443999884,160.43,2428.65,0,9.954268293,25.39
11/11/1980,2.81,23.25,0.443999884,158.39,2320.62,0,10.0152439,25.39
12/11/1980,0,21.465,0.443999884,227.08,2012.22,0,10.06097561,25.37
13/11/1980,0,21.17,0.443999884,274.32,1851.77,0,10.06097561,25.36
14/11/1980,0,22.195,0.442650116,290.23,1916.05,0,10.10670732,25.22
15/11/1980,20.13,24.25,0.440000116,177.8,2320.41,0,10.16768293,25.29
16/11/1980,16.18,24,0.440000116,186.77,2280,0,10.16768293,25.29
17/11/1980,21.13,25.13,0.440000116,179.1,2440.94,0.001437311,10.19817073,25.24
18/11/1980,0,23.875,0.440000116,231.76,2303.04,0.017966389,10.19817073,25.21
19/11/1980,0,16.54,0.440000116,367.41,1167.71,0.023356306,10.19817073,25.19
20/11/1980,0,15.3,0.435999884,302.35,1248.06,0.019763028,10.21341463,25.18
21/11/1980,0,15.17,0.435999884,323.72,1187.28,0.017786725,10.24390244,25.14
22/11/1980,0,16.6,0.435999884,363.29,1163.96,0.014732439,10.28963415,25.12
23/11/1980,0,20.865,0.435999884,311.7,1684.6,0.012396808,10.28963415,25.06
24/11/1980,2,23.27,0.435999884,250.46,2140.87,0.010600169,9.679878049,25.01
25/11/1980,0,22.11,0.435999884,280.99,1908.55,0.010600169,9.542682927,25
26/11/1980,0,21.95,0.434650116,293.26,1863.79,0.010240842,9.43597561,25
27/11/1980,7.26,21.775,0.432,211.24,1884.08,0.014912103,9.43597561,25.4
28/11/1980,12.17,17.2,0.432,237.44,1345.38,0.019763028,9.43597561,25.59
29/11/1980,2.59,11.28,0.432,311.72,884.68,0.026949583,9.43597561,25.59
30/11/1980,0,12.055,0.432,368.24,826.3,0.023356306,9.43597561,25.39
1/12/1980,0,16.945,0.432,339.38,1240,0.021559667,9.43597561,25.24
2/12/1980,0,19.03,0.432,331.53,1404.54,0.017068069,9.43597561,25.18
3/12/1980,0,18.63,0.432,328.44,1381.04,0.015091767,9.43597561,25.18
4/12/1980,0,18.6,0.432,299.85,1455.73,0.015091767,9.43597561,25.16
5/12/1980,0,19.325,0.430650231,272.47,1612.14,0.014013783,9.43597561,25.16
6/12/1980,0,17.7,0.428000116,310.58,1365.74,0.012037481,9.43597561,25.14
7/12/1980,0,18.535,0.428000116,318.55,1405.48,0.011318825,9.43597561,25.245
8/12/1980,0,19.94,0.428000116,303.74,1590.29,0.012037481,9.43597561,25.35
9/12/1980,0,19.615,0.428000116,324.49,1458.2,0.010600169,9.43597561,25.75
10/12/1980,0,19.905,0.428000116,335.18,1424.68,0.009881514,9.43597561,26.62
11/12/1980,0,19.17,0.428000116,300.6,1480,0.009881514,9.43597561,26.45
12/12/1980,0,15.5,0.428000116,326.42,1127.44,0.011318825,9.43597561,26.19
13/12/1980,0,16.205,0.428000116,331.52,1152.87,0.010779833,9.43597561,25.82
14/12/1980,0,16.2,0.428000116,348.85,1072.03,0.009881514,9.31402439,25.74
15/12/1980,0,14.855,0.428000116,361.64,898.65,0.008803531,9.329268293,25.93
16/12/1980,0,15.595,0.428000116,346.39,987.79,0.014013783,9.43597561,25.91
17/12/1980,16.47,15.875,0.428000116,198.13,1280,0.084442028,9.481707317,25.74
18/12/1980,0,12.155,0.428000116,338.12,825.12,0.079052111,9.527439024,25.68
19/12/1980,0,14.45,0.428000116,327.32,992.03,0.062882361,9.542682927,25.59
20/12/1980,0,16.56,0.428000116,294.68,1245.41,0.052102528,9.573170732,25.51
21/12/1980,2.02,16.6,0.428000116,222.55,1354.24,0.052102528,9.618902439,25.41
22/12/1980,18.26,17.35,0.428000116,144.64,1567.59,0.134747917,9.664634146,25.35
23/12/1980,5.07,17.26,0.428000116,178.76,1440,0.152714306,9.664634146,25.27
24/12/1980,0,16.475,0.428000116,268.27,1316.08,0.136544556,9.344512195,25.33
25/12/1980,2,14.67,0.428000116,265.24,1187.13,0.127561361,9.222560976,25.36
26/12/1980,0,11.255,0.428000116,329.04,801.29,0.109594972,8.948170732,25.39
27/12/1980,0,12.53,0.428000116,291.95,960,0.093425222,8.948170732,25.38
28/12/1980,0,8.865,0.428000116,275.04,800,0.082645389,8.68902439,25.39
29/12/1980,0,7.83,0.428000116,240.44,791.23,0.073662195,8.567073171,25.37
30/12/1980,0,11.755,0.428000116,289.1,920.6,0.068272278,8.521341463,25.31
31/12/1980,0,9.795,0.428000116,264.77,855.92,0.061085722,8.506097561,25.26
1/1/1981,0,10.82,0.428000116,334.15,677.99,0.059289083,8.506097561,25.25
2/1/1981,0,11,0.428000116,304.35,768.71,0.053899167,8.506097561,25.24
3/1/1981,0,10.575,0.428000116,339.43,650.95,0.04850925,8.521341463,25.23
4/1/1981,0,11.52,0.428814583,340.14,683.52,0.046712611,8.582317073,25.29
5/1/1981,0,11.52,0.431921528,307.32,792.74,0.043119333,8.658536585,25.99
6/1/1981,0,12.32,0.432,310.53,819.77,0.041322695,8.765243902,25.96
7/1/1981,0,15.845,0.432,281.58,1119.52,0.041322695,8.841463415,26.16
8/1/1981,0,14.38,0.432,283.03,1024.28,0.041322695,8.887195122,26.15
9/1/1981,0,11.61,0.432,307.7,803.41,0.037729417,8.932926829,26.01
10/1/1981,0,10.57,0.432,322.86,708.32,0.035932778,8.978658537,25.92
11/1/1981,0,9.51,0.432,312.03,694.73,0.034136139,8.993902439,25.84
12/1/1981,0,6.23,0.432,310.53,563.29,0.034136139,9.024390244,25.75
13/1/1981,0,4.095,0.432814352,329.05,469.23,0.0323395,9.039634146,26.32
14/1/1981,0,6.485,0.435999884,377.79,425.3,0.0323395,9.085365854,26.22
15/1/1981,0,13.08,0.435999884,354.25,714.33,0.034136139,9.131097561,25.99
16/1/1981,0,16.5,0.435999884,324.81,980.69,0.035932778,9.146341463,25.85
17/1/1981,0,12.3,0.435999884,324.14,777.53,0.037729417,9.192073171,25.76
18/1/1981,0,6.475,0.435999884,342.1,515.06,0.034136139,8.902439024,25.75
19/1/1981,0,7.765,0.435999884,379.7,472.01,0.034136139,8.734756098,25.67
20/1/1981,0,10.535,0.438650231,383.13,537.18,0.034136139,8.658536585,25.66
21/1/1981,3.9,15.32,0.440000116,222.74,1119.87,0.043119333,8.643292683,25.61
22/1/1981,0,10.985,0.440000116,349.07,677.38,0.044915972,8.643292683,25.58
23/1/1981,0,10.735,0.440000116,323.34,743.52,0.044915972,8.643292683,25.58
24/1/1981,6.72,11.81,0.440000116,200.7,929.81,0.052102528,8.643292683,25.54
25/1/1981,0,11.79,0.440000116,334.38,778.23,0.052102528,8.643292683,25.98
26/1/1981,0,13.935,0.443999884,359.24,806.32,0.052102528,8.643292683,25.98
27/1/1981,0,14.395,0.443999884,372.73,783.43,0.050305889,8.643292683,25.84
28/1/1981,0,14.94,0.443999884,360.23,863.97,0.046712611,8.643292683,25.74
29/1/1981,0,13.895,0.443999884,364.28,763.09,0.044915972,8.643292683,25.69
30/1/1981,0,13.875,0.443999884,392.83,630.74,0.041322695,8.643292683,25.67
31/1/1981,0,15.27,0.448,349.54,804.39,0.039526056,8.643292683,25.67
1/2/1981,0,17.875,0.448,272.64,1208.81,0.037729417,8.643292683,25.67
2/2/1981,16.76,19,0.448,205.61,1518.48,0.106001695,8.643292683,25.6
3/2/1981,0,10.73,0.448,317.96,742.51,0.215596667,8.643292683,26.36
4/2/1981,0,7.315,0.450650116,359.12,438.43,0.215596667,8.643292683,26.36
5/2/1981,0,10.02,0.452,372.11,393.25,0.179663889,8.643292683,26.16
6/2/1981,0,12.935,0.452,387.98,437.54,0.147324389,8.643292683,26.01
7/2/1981,0,18.745,0.452,358.16,686.17,0.125764722,8.643292683,25.98
8/2/1981,31.35,20.75,0.452,168.32,1506.93,0.251529445,8.643292683,25.95
9/2/1981,26.18,16.22,0.455999884,227.66,1182.71,0.449159723,8.643292683,25.91
10/2/1981,0,19.51,0.455999884,305.72,1425.99,0.431193334,8.643292683,25.86
11/2/1981,3.68,22.515,0.455999884,214.88,1932.19,0.359327779,8.643292683,25.82
12/2/1981,5,15.765,0.455999884,271.25,1089.02,0.323395001,8.643292683,25.82
13/2/1981,0,15.98,0.459999884,232.24,1394.77,0.305428612,8.643292683,25.83
14/2/1981,6.11,19.62,0.459999884,167.29,1779.44,0.359327779,8.643292683,25.77
15/2/1981,2,20.225,0.459999884,243.64,1793.86,0.323395001,8.643292683,25.72
16/2/1981,3.6,20.895,0.459999884,180.4,1903.11,0.287462223,8.643292683,25.73
17/2/1981,0.64,21.955,0.463999884,240.04,2050.58,0.251529445,8.643292683,25.65
18/2/1981,0,22.32,0.463999884,225.73,2142.87,0.215596667,7.728658537,25.61
19/2/1981,0.85,21.175,0.463999884,316.68,1735.98,0.215596667,7.728658537,25.54
20/2/1981,0,19.425,0.464814352,416.84,1201.04,0.197630278,7.759146341,25.5
21/2/1981,0,17.645,0.468,444.29,992.65,0.179663889,7.820121951,25.48
22/2/1981,0,16.29,0.468,475.02,799,0.179663889,7.484756098,25.51
23/2/1981,0,17.235,0.468,444.45,971.53,0.176070611,7.469512195,25.54
24/2/1981,0,13.755,0.472,474.57,710.83,0.131154639,7.469512195,25.52
25/2/1981,0,14.73,0.472,475.25,748.73,0.093425222,7.515243902,25.47
26/2/1981,0,16.485,0.472,458.68,896.27,0.070068917,7.591463415,25.45
27/2/1981,0,15.94,0.472,483.94,777.03,0.055695806,7.62195122,25.46
28/2/1981,0,17.445,0.476,472.36,896.21,0.046712611,7.713414634,25.46
1/3/1981,0,18.165,0.476,458.88,994.64,0.04850925,7.789634146,25.48
2/3/1981,0,18.775,0.476,455.15,1046.99,0.052102528,7.896341463,25.46
3/3/1981,0,17.925,0.478650116,437.02,1064.59,0.050305889,7.942073171,25.31
4/3/1981,0,17.745,0.48,431.43,1052.7,0.043119333,7.942073171,25.22
5/3/1981,1.3,21.39,0.48,337.62,1599.55,0.044915972,7.972560976,25.32
6/3/1981,1.39,18.175,0.48,417.63,1048.26,0.052102528,8.033536585,25.32
7/3/1981,0,16.595,0.483999884,472.5,877.71,0.046712611,8.125,25.39
8/3/1981,0,18.125,0.483999884,416.74,1150.46,0.039526056,8.18597561,25.33
9/3/1981,0,20.355,0.483999884,363.62,1504.15,0.035932778,8.262195122,25.35
10/3/1981,0,19.75,0.487921644,394.17,1343.61,0.035932778,8.323170732,25.38
11/3/1981,0,18.17,0.488000116,424.41,1132.4,0.034136139,8.368902439,25.41
12/3/1981,0,16.195,0.488000116,448.3,948.13,0.028746222,8.414634146,25.41
13/3/1981,0.14,17.83,0.488000116,369.76,1286.01,0.025152944,8.475609756,25.49
14/3/1981,0,17.345,0.491999537,382.4,1219.91,0.025152944,8.521341463,25.91
15/3/1981,0,16.56,0.491999537,480.56,871.62,0.023356306,8.551829268,26.11
16/3/1981,3,18.485,0.491999537,334.16,1212.86,0.023356306,8.597560976,25.81
17/3/1981,0,14.955,0.495999884,495.85,756.59,0.021559667,8.643292683,26.02
18/3/1981,0,17.945,0.495999884,444.8,1049.84,0.015990086,8.704268293,26.02
19/3/1981,4.2,19.445,0.495999884,280.54,1500.81,0.014373111,8.75,25.79
20/3/1981,0,13.18,0.495999884,465.34,762.63,0.012396808,8.765243902,25.57
21/3/1981,0,12.13,0.5,524.43,572.42,0.008803531,8.81097561,26.38
22/3/1981,0,16.485,0.5,446.33,969.84,0.010959497,8.841463415,26.24
23/3/1981,23.08,18.42,0.5,258.12,1471.74,0.062882361,8.856707317,26.04
24/3/1981,0,13.885,0.504000116,432.4,950.69,0.073662195,8.887195122,25.85
25/3/1981,0,13.895,0.504000116,464.12,874.93,0.059289083,8.917682927,25.98
26/3/1981,0,17.2,0.504000116,422.88,1185.69,0.046712611,8.932926829,25.91
27/3/1981,0,18.6,0.504000116,432.01,1258.15,0.039526056,8.978658537,27.07
28/3/1981,0,19.29,0.508000116,449.62,1255.23,0.037729417,9.024390244,27.28
29/3/1981,0,20.75,0.508000116,403.43,1532.3,0.034136139,9.039634146,27.08
30/3/1981,0,22.45,0.508000116,392.21,1735.45,0.026949583,9.085365854,27.2
31/3/1981,0,25.285,0.512,371.48,2124.38,0.021559667,7.682926829,27.03
1/4/1981,0,24.735,0.512,424.12,1829.51,0.017966389,7.179878049,26.88
2/4/1981,0,23.805,0.512,410.33,1808.9,0.014013783,7.179878049,26.88
3/4/1981,0,20.64,0.512078472,507.44,1177.74,0.009342522,7.240853659,26.64
4/4/1981,0,23.67,0.516,387.32,1890.09,0.005030589,7.347560976,26.42
5/4/1981,0,23.73,0.516,404.42,1831.51,0.001077983,7.454268293,26.19
6/4/1981,0,22.21,0.516,420.5,1635.5,0,7.56097561,26
7/4/1981,0,19.725,0.520000116,434.48,1387.57,0,7.667682927,25.85
8/4/1981,0,20.195,0.520000116,409.06,1506.86,0,7.759146341,25.74
9/4/1981,0,21.43,0.520000116,433.04,1526.34,0,7.850609756,25.65
10/4/1981,0,21.75,0.521349884,430.06,1567.14,0,7.942073171,25.56
11/4/1981,0,22.68,0.524,389.52,1807.32,0,8.033536585,25.84
12/4/1981,0,22.345,0.524,440.21,1583.91,0,8.125,25.88
13/4/1981,0,21.375,0.524,494.18,1304.84,0,8.231707317,25.88
14/4/1981,0,22.455,0.528,468.26,1485.7,0,8.307926829,25.76
15/4/1981,0,23.24,0.528,454.53,1603.95,0,8.399390244,25.73
16/4/1981,5.26,23.795,0.528,272.64,2141.63,0,8.490853659,25.62
17/4/1981,4.28,22.8,0.528,266.76,2076.2,0,8.582317073,25.605
18/4/1981,0,22.435,0.532000116,456.3,1592.08,0,8.643292683,25.59
19/4/1981,0,22.825,0.532000116,502.38,1443.73,0,8.734756098,25.57
20/4/1981,0,23.85,0.532000116,482.96,1616.44,0,8.795731707,25.54
21/4/1981,0,24.25,0.535185532,486.74,1633.84,0,8.856707317,25.54
22/4/1981,0,23.86,0.535999884,483.1,1591.28,0,8.917682927,25.59
23/4/1981,0,24.49,0.535999884,474.73,1681,0,8.978658537,25.61
24/4/1981,0,24.095,0.535999884,501.78,1534.09,0,9.070121951,26.23
25/4/1981,0,23.72,0.54,478.66,1564.75,0,9.070121951,26.56
26/4/1981,0,23.35,0.54,445.28,1668.05,0,9.176829268,26.56
27/4/1981,0,23.63,0.54,397.93,1885.24,0,9.207317073,26.47
28/4/1981,0.27,23.64,0.54,370.9,1999.41,0,9.25304878,26.33
29/4/1981,0,23.27,0.544000116,499.27,1455.79,0,9.31402439,26.16
30/4/1981,0,24.25,0.544000116,484.29,1589.97,0,9.375,26.62
1/5/1981,0,25.25,0.544000116,489.69,1645.41,0,9.43597561,27.3
2/5/1981,0,25.5,0.544000116,409.96,2023.26,0,9.49695122,27.5
3/5/1981,0,22.12,0.547999884,486.74,1419.46,0,9.542682927,27.5
4/5/1981,0,21.46,0.547999884,502.18,1233.69,0,9.618902439,27.22
5/5/1981,0,20.645,0.547999884,563.75,960.9,0,9.679878049,27.02
6/5/1981,0,23.2,0.547999884,535.37,1201.4,0,9.756097561,26.79
7/5/1981,9.72,26.175,0.549349769,318.26,2273.56,0,9.817073171,26.58
8/5/1981,1.93,24.135,0.552,390.5,1872.13,0,9.87804878,26.39
9/5/1981,0,22.32,0.552,498.58,1350.96,0,9.923780488,26.23
10/5/1981,0,25.5,0.552,508.54,1300.8,0,9.969512195,26.11
11/5/1981,0,25,0.552,555.53,828.12,0,10.0304878,26.02
12/5/1981,0,23.065,0.556,553.96,747.01,0,10.07621951,25.91
13/5/1981,0,23.155,0.556,511.18,840.47,0,10.13719512,25.91
14/5/1981,0,24.365,0.556,495.03,891.23,0,10.19817073,25.91
15/5/1981,0,25.8,0.556,508.45,907.03,0,10.24390244,25.77
16/5/1981,0,24.55,0.556,544.57,731.5,0,10.28963415,25.69
17/5/1981,0,26.12,0.56,494.42,888.56,0,10.32012195,25.67
18/5/1981,0,26.57,0.56,479.21,912.63,0,10.28963415,25.68
19/5/1981,0,26.25,0.56,509.84,842.56,0,10.28963415,25.65
20/5/1981,8.54,27,0.56,389.7,1156.17,0,10.30487805,25.59
21/5/1981,15.78,24.545,0.56,349.86,1175.12,0,10.33536585,25.61
22/5/1981,0,22.225,0.561349769,490.05,913.99,0,10.36585366,25.62
23/5/1981,0,23.04,0.563999884,469.42,1023.79,0,10.39634146,25.61
24/5/1981,0,23.525,0.563999884,494.38,969.56,0,10.41158537,25.54
25/5/1981,0,24.09,0.563999884,482.63,1035.41,0,10.42682927,25.51
26/5/1981,0,24.54,0.563999884,465.73,1114.89,0,10.44207317,25.51
27/5/1981,20.29,26.3,0.563999884,287.49,1902.99,0,10.45731707,25.49
28/5/1981,15.81,26.39,0.563999884,305.62,2018.91,0,10.04573171,25.49
29/5/1981,0,25.8,0.567185417,486.52,1479.52,0,10.07621951,25.41
30/5/1981,0,26.53,0.568,468.46,1616.29,0,10.07621951,25.43
31/5/1981,0,27.47,0.568,440.06,1831.23,0,10.07621951,25.41
1/6/1981,4.58,26.8,0.568,317.36,2116.5,0,10.07621951,25.41
2/6/1981,0,26.83,0.568,403.42,1988.67,0,10.07621951,25.42
3/6/1981,0.01,27.86,0.568,345.85,2406.9,0,10.07621951,25.43
4/6/1981,6.98,27.555,0.568,263.02,2610.29,0,10.07621951,25.46
5/6/1981,3.64,27.32,0.568,258.3,2654.24,0,10.07621951,25.44
6/6/1981,0,27.975,0.568078356,360.07,2433.61,0,10.07621951,25.42
7/6/1981,8.31,28.355,0.571185532,271.61,2733.77,0,10.07621951,25.38
8/6/1981,26.02,28,0.572,287.71,2631.44,0,10.07621951,25.45
9/6/1981,5.99,27.675,0.572,281.77,2696.26,0,10.07621951,25.49
10/6/1981,6.55,28.25,0.572,298.96,2715.49,0,10.07621951,25.5
11/6/1981,7.32,28.055,0.572,313.37,2634.89,0,10.07621951,25.51
12/6/1981,5.85,27.545,0.572,316.38,2560,0,10.07621951,25.6
13/6/1981,0,27.995,0.572,395.79,2637.1,0,10.07621951,26.3
14/6/1981,0,27.25,0.572,442.35,2316.11,0,10.07621951,26.23
15/6/1981,0,27.23,0.572,453.71,2252.07,0,9.786585366,26.02
16/6/1981,0,27.525,0.572,497.66,2056.12,0,9.786585366,25.92
17/6/1981,0,28.43,0.572,487.53,2195.93,0,9.786585366,25.87
18/6/1981,0,29.14,0.572,431.73,2573.15,0,9.786585366,25.79
19/6/1981,0,28,0.572,428.93,2449.8,0,9.786585366,25.74
20/6/1981,0,28.08,0.572,433.14,2436.97,0,9.786585366,25.72
21/6/1981,9.72,27.25,0.572,345.99,2380.66,0,9.786585366,25.69
22/6/1981,0,27.25,0.572,449.95,2194.23,0,9.786585366,25.66
23/6/1981,0,27.25,0.572,425.28,2319.63,0,9.786585366,25.66
24/6/1981,0,27.79,0.572,447.13,2276.25,0,9.786585366,25.58
25/6/1981,0,28,0.572,435.63,2358.79,0,9.786585366,25.51
26/6/1981,0,27.5,0.572,461.93,2166.86,0,9.786585366,25.45
27/6/1981,0,27.14,0.572,468.28,2092.65,0,9.786585366,25.38
28/6/1981,7.75,27,0.572,323.7,2458.41,0,9.786585366,25.39
29/6/1981,1.19,26.805,0.572,385.24,2467.42,0,9.786585366,25.41
30/6/1981,0,25.89,0.572,438.93,2155.34,0,9.786585366,25.38
1/7/1981,0,24.75,0.572,508.63,1726.48,0,9.786585366,25.37
2/7/1981,0,25.93,0.572,444.09,2134.35,0,9.786585366,25.39
3/7/1981,0,27.525,0.572,413.93,2457.41,0,9.786585366,25.39
4/7/1981,0,27.93,0.572,428.71,2429.7,0,9.786585366,25.38
5/7/1981,0,27.75,0.572,444.26,2325.31,0,9.786585366,25.37
6/7/1981,0,28.41,0.569349653,421.4,2517.72,0,9.786585366,25.39
7/7/1981,0,28.7,0.568,407.32,2627.12,0,9.786585366,25.39
8/7/1981,0,28.815,0.568,438.03,2475.25,0,9.786585366,25.4
9/7/1981,1.86,28.25,0.568,417.38,2376.62,0,9.786585366,25.4
10/7/1981,0,28.605,0.568,426.28,2515.23,0,9.786585366,25.34
11/7/1981,0,29.335,0.568,414.02,2676.59,0,9.786585366,25.44
12/7/1981,0,27.615,0.568,467.85,2181.43,0,9.786585366,25.5
13/7/1981,0,28.055,0.568,485.7,2124.45,0,9.786585366,25.74
14/7/1981,0,29.295,0.568,467.4,2355.95,0,9.786585366,25.9
15/7/1981,0,29.75,0.565349769,444.35,2539.96,0,9.786585366,25.8
16/7/1981,3.69,30,0.563999884,328.13,2844.09,0,9.786585366,25.69
17/7/1981,15.67,30,0.563999884,341.65,2806.55,0,9.786585366,25.62
18/7/1981,12.86,28.885,0.563999884,320.1,2713.51,0,9.786585366,25.58
19/7/1981,0,28.625,0.563999884,418.82,2645.44,0,9.786585366,25.52
20/7/1981,0,28.14,0.563999884,396.77,2677.91,0,9.786585366,25.5
21/7/1981,11.06,28.225,0.563999884,317.8,2643.26,0,9.786585366,25.5
22/7/1981,14.81,28.25,0.56,319.23,2640,0,9.786585366,26.73
23/7/1981,5.62,28.03,0.56,293.23,2720,0,9.786585366,26.69
24/7/1981,6.78,27,0.56,330.65,2480,0,9.786585366,26.43
25/7/1981,2.5,27.75,0.56,354.62,2640,0,9.786585366,26.22
26/7/1981,0,28.25,0.56,376.8,2800,0,9.786585366,26.06
27/7/1981,0,28.55,0.55735,359.86,2902.95,0,9.786585366,25.95
28/7/1981,0,28.065,0.556,370.49,2800.66,0,9.786585366,25.9
29/7/1981,0,28.465,0.556,389.34,2801.22,0,9.786585366,25.88
30/7/1981,0,27.75,0.556,409.39,2640,0.005210253,9.786585366,25.84
31/7/1981,0,27.775,0.556,412.35,2638.52,0.04850925,9.786585366,26.03
1/8/1981,49.14,27.75,0.553349653,308.16,2640,0.197630278,9.786585366,26.13
2/8/1981,5.22,28.035,0.552,278.31,2800,0.431193334,9.786585366,26.09
3/8/1981,1.28,26.975,0.552,402.72,2560,0.610857224,9.786585366,26.14
4/8/1981,5.82,27.25,0.552,292.08,2640,0.538991668,9.786585366,26.06
